team,shot_off_target,possession_percentagefirst_half_goals,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost,shot_off_target_av_diff,possession_percentagefirst_half_goals_av_diff,formation_used_av_diff,touches_av_diff,total_pass_av_diff,long_pass_own_to_opp_success_av_diff,pen_area_entries_av_diff,final_third_entries_av_diff,total_fwd_zone_pass_av_diff,total_final_third_passes_av_diff,attempts_obox_av_diff,attempts_ibox_av_diff,total_offside_av_diff,total_tackle_av_diff,blocked_pass_av_diff,interception_av_diff,total_back_zone_pass_av_diff,fk_foul_lost_av_diff,finale position
Arsenal,191.2894736842105,0.6052631578947368,3191.2631578947367,53.70526315789474,5.0,701.2631578947369,529.6315789473684,36.86842105263158,28.23684210526316,56.26315789473684,288.92105263157896,143.0,4.184210526315789,7.7105263157894735,1.5789473684210529,12.0,14.894736842105264,9.236842105263158,0.944313289820855,-5.54414784394248,29.691737750361447,7.410526315789514,10.658124635993008,6.506156038233196,12.070429633011926,-0.7720093491040355,1.686884003032605,4.445530043966775,7.003625589645648,10.030068945967011,-4.504504504504511,-0.0682128240109228,-7.975460122699374,-22.698762502119003,-8.672851956434032,-10.390605054888944,8
Aston Villa,177.5,0.6578947368421053,3229.157894736842,48.25526315789473,4.815789473684211,595.2631578947369,399.7105263157895,35.63157894736842,30.26315789473684,56.26315789473684,249.81578947368425,131.81578947368422,4.631578947368421,8.763157894736842,1.6578947368421053,13.947368421052632,14.578947368421051,10.18421052631579,-6.33245382585752,2.6694045174538337,31.23176564197771,-3.48947368421051,6.581246359930108,-9.59286814827248,-15.420960166162272,-4.10085700120406,8.984078847611835,4.445530043966775,-7.479240575416146,1.424478349346484,5.7057057057057055,13.574351978171894,-3.374233128834341,-10.154263434480418,-10.60911657926582,-1.1998978810313978,11
Fulham,190.6315789473684,0.4736842105263157,2718.2894736842104,49.79736842105263,4.973684210526316,667.7105263157895,468.3157894736842,38.078947368421055,27.605263157894736,51.68421052631579,253.7894736842105,122.07894736842104,4.473684210526316,7.184210526315789,1.2105263157894737,15.81578947368421,15.973684210526317,11.5,0.597139286210243,-26.07802874743325,10.470264628126015,-0.4052631578947087,10.07571345369831,1.4102633277578351,-0.90403628395706,2.4860117572066067,-0.587566338134947,-4.054714215925754,-6.0075630579704375,-6.067447581829045,2.102102102102101,-6.889495225102325,-29.447852760736183,1.881674860145788,-2.057281161758767,11.564973193770747,18
Leeds United,190.42105263157896,0.6842105263157895,4017.605263157895,57.57631578947368,5.2368421052631575,689.921052631579,490.8421052631579,35.1578947368421,32.73684210526316,51.63157894736842,251.5,128.89473684210526,4.657894736842105,9.289473684210526,2.131578947368421,19.473684210526315,16.342105263157894,10.447368421052632,0.4860436050548598,6.776180698151982,63.273970961918494,15.152631578947382,15.8998252766453,4.7835444631627,3.862548619444424,-5.3757348254125725,17.89234268385141,-4.152418172936017,-6.855483217028563,-0.8230994300061821,6.306306306306303,20.395634379263285,24.233128834355856,25.444990676385824,0.2016942315449836,1.3530763339290348,9
Leicester City,191.76315789473685,0.7368421052631579,3183.2105263157896,54.526315789473685,3.710526315789474,703.2894736842105,515.1842105263158,36.3421052631579,26.657894736842103,56.078947368421055,285.13157894736844,130.42105263157896,4.526315789473684,7.684210526315789,1.921052631578948,17.92105263157895,17.68421052631579,11.526315789473683,1.1942785724205012,14.98973305954828,29.364481823393003,9.052631578947402,-17.88002329644729,6.813907990159937,9.013355904078038,-2.1885402648912744,-3.999241849886268,4.103566194430872,5.600171533273579,0.3513105808267492,3.3033033033032955,-0.4092769440654913,11.963190184049092,15.44329547380913,8.430818878580096,11.820270615266798,5
Liverpool,190.42105263157896,0.6578947368421053,735.2105263157895,62.37368421052632,5.657894736842105,828.0526315789474,639.2631578947369,50.13157894736842,39.73684210526316,66.0,389.1315789473685,188.3947368421053,5.184210526315789,10.68421052631579,1.736842105263158,13.842105263157896,16.763157894736842,9.13157894736842,0.4860436050548598,2.6694045174538337,-70.12131997501733,24.74736842105268,25.21840419336051,25.762635315935366,35.268551954940165,34.924569728734326,43.10083396512511,22.52076209086467,44.1171884137071,44.958642544015056,18.318318318318312,38.47203274215551,1.2269938650306915,-10.83234446516358,2.783380395320708,-11.41179474087311,3
Manchester City,187.6578947368421,0.7631578947368421,1675.0,63.69736842105263,5.289473684210527,845.6578947368421,675.0263157894736,49.578947368421055,30.63157894736842,62.89473684210526,413.8421052631579,195.4736842105264,5.052631578947368,10.36842105263158,1.5263157894736843,13.105263157894736,14.421052631578949,8.394736842105264,-0.9720872101097046,19.096509240246444,-31.92862826293411,27.394736842105296,17.06464764123471,28.436480196961256,42.83606233312077,33.43721226715773,10.31084154662624,16.756228627259393,53.26887840629998,50.4054751804643,15.315315315315305,34.37926330150067,-11.042944785276058,-15.578911679945756,-11.57724889068172,-18.560122542762308,1
Sheffield United,192.23684210526315,0.4736842105263157,783.0526315789474,41.4,3.473684210526316,564.5526315789474,385.4473684210527,30.86842105263158,26.26315789473684,54.526315789473685,249.23684210526315,130.76315789473685,2.894736842105264,5.605263157894737,1.736842105263158,16.68421052631579,15.736842105263158,9.236842105263158,1.4442438550201322,-26.07802874743325,-68.1770347618518,-17.199999999999978,-23.121723937099592,-14.257108770331104,-18.43905481294217,-16.920461789078548,-5.420773313115991,1.2212994626282316,-7.693657167361885,0.6145404108410208,-33.933933933933936,-27.353342428376536,1.2269938650306915,7.475843363281923,-3.509479628882605,-10.390605054888944,20
West Ham United,191.02631578947367,0.868421052631579,3241.236842105264,42.80526315789473,5.394736842105263,580.5,398.7368421052632,35.026315789473685,25.789473684210527,52.42105263157895,243.8684210526316,113.60526315789474,4.447368421052632,8.5,1.6842105263157894,13.526315789473683,16.789473684210527,11.5,0.8054436883766072,35.52361396303906,31.722649532430403,-14.389473684210518,19.3942923704135,-11.835060940881643,-15.626992457547614,-5.729867554359372,-7.12661106899165,-2.6868588177821304,-9.681883747222312,-12.587447986798011,1.5015015015015036,10.163710777626187,-1.8404907975460048,-12.866587557213084,2.9447357805566945,11.564973193770747,6
Wolverhampton Wanderers,192.1315789473684,0.5526315789473685,2432.657894736842,49.29210526315791,4.7105263157894735,649.5,461.10526315789474,40.5,23.789473684210527,46.578947368421055,254.76315789473685,108.71052631578948,4.7105263157894735,7.394736842105263,1.263157894736842,15.473684210526317,15.210526315789474,11.36842105263158,1.388696014442433,-13.757700205338775,-1.1376956049315328,-1.4157894736841574,4.251601630751301,-1.3555074609864382,-2.4297889282701526,9.002053969827891,-14.329037149355564,-13.531998045920862,-5.646953335152609,-16.353659400848407,7.507507507507498,-4.160982264665767,-26.3803680981595,-0.3220884895745087,-6.736587333602244,10.288486086290533,13
