,score,possession_percentage
Arsenal21,55.0,2040.8000000000004
Aston Villa21,55.0,1833.7
Brighton and Hove Albion21,40.0,1943.2999999999995
Burnley21,33.0,1591.1000000000001
Chelsea21,58.0,2333.8000000000006
Crystal Palace21,41.0,1526.6
Everton21,47.0,1764.0000000000002
Fulham21,27.0,1892.3000000000002
Leeds United21,62.0,2187.899999999999
Leicester City21,68.0,2072.0
Liverpool21,68.0,2370.2000000000003
Manchester City21,83.0,2420.5
Manchester United21,73.0,2122.0999999999995
Newcastle United21,46.0,1457.2
Sheffield United21,20.0,1573.2
Southampton21,47.0,1981.3999999999996
Tottenham Hotspur21,68.0,1961.3000000000002
West Bromwich Albion21,35.0,1428.8999999999999
West Ham United21,62.0,1626.6
Wolverhampton Wanderers21,36.0,1873.1000000000001
Arsenal20,56.0,2048.5
Aston Villa20,41.0,1665.2000000000005
Brighton and Hove Albion20,39.0,1986.9
Burnley20,43.0,1575.6000000000001
Chelsea20,69.0,2307.1000000000004
Crystal Palace20,31.0,1692.6000000000001
Everton20,44.0,1868.1000000000001
Leicester City20,67.0,2183.4
Liverpool20,85.0,2406.3
Manchester City20,102.0,2533.3000000000006
Manchester United20,66.0,2126.8
Newcastle United20,38.0,1468.3
Sheffield United20,39.0,1631.1000000000001
Southampton20,51.0,1862.3999999999996
Tottenham Hotspur20,61.0,1980.6000000000004
West Ham United20,49.0,1672.2
Wolverhampton Wanderers20,51.0,1833.1999999999998
Arsenal19,73.0,2220.6
Brighton and Hove Albion19,35.0,1595.4
Burnley19,45.0,1546.1000000000001
Chelsea19,63.0,2410.6000000000004
Crystal Palace19,51.0,1709.6
Everton19,54.0,1965.6
Fulham19,34.0,1853.0000000000005
Leicester City19,51.0,1941.300000000001
Liverpool19,89.0,2366.5999999999995
Manchester City19,95.0,2594.9
Manchester United19,65.0,2081.4
Newcastle United19,42.0,1522.8999999999999
Southampton19,45.0,1649.1000000000004
Tottenham Hotspur19,67.0,2255.1
West Ham United19,52.0,1844.5
Wolverhampton Wanderers19,47.0,1776.7999999999997
Arsenal18,74.0,2350.2999999999997
Brighton and Hove Albion18,34.0,1649.8000000000002
Burnley18,36.0,1654.3999999999999
Chelsea18,62.0,2116.000000000001
Crystal Palace18,45.0,1713.7000000000003
Everton18,44.0,1728.5999999999995
Leicester City18,56.0,1820.6000000000001
Liverpool18,84.0,2308.9000000000005
Manchester City18,106.0,2726.4999999999995
Manchester United18,68.0,2080.7
Newcastle United18,39.0,1580.9000000000003
Southampton18,37.0,1957.1000000000004
Tottenham Hotspur18,74.0,2360.8999999999996
West Bromwich Albion18,31.0,1530.4000000000005
West Ham United18,48.0,1697.4999999999998
Arsenal17,77.0,2230.8999999999996
Burnley17,39.0,1526.3
Chelsea17,85.0,2088.1999999999994
Crystal Palace17,50.0,1721.0000000000002
Everton17,62.0,1976.9000000000003
Leicester City17,48.0,1592.3
Liverpool17,78.0,2352.8000000000006
Manchester City17,80.0,2465.5999999999995
Manchester United17,54.0,2145.7
Southampton17,41.0,2070.6
Tottenham Hotspur17,86.0,2298.2000000000003
West Bromwich Albion17,43.0,1413.2
West Ham United17,47.0,1790.1999999999998
