team1,team2,score1,score2,first_half_goals1,first_half_goals2,rating1,rating2,strategy1,strategy2
Arsenal,Liverpool,0,3,0.0,0.0,5.390350877192983,7.655701754385969,1,1
Aston Villa,Liverpool,7,2,4.0,1.0,4.925438596491231,7.655701754385969,1,1
Manchester City,Liverpool,1,1,1.0,1.0,7.986842105263154,7.655701754385969,1,1
Burnley,Liverpool,0,3,1.0,0.0,6.60526315789474,7.655701754385969,1,1
Chelsea,Liverpool,0,2,0.0,0.0,3.260964912280702,7.655701754385969,1,1
Manchester United,Liverpool,2,4,1.0,2.0,3.655701754385971,7.655701754385969,1,1
Arsenal,Manchester City,0,1,1.0,0.0,5.390350877192983,7.986842105263154,1,1
Aston Villa,Manchester City,1,2,1.0,2.0,4.925438596491231,7.986842105263154,1,1
Liverpool,Manchester City,1,4,0.0,0.0,7.655701754385969,7.986842105263154,1,1
Burnley,Manchester City,0,2,2.0,0.0,6.60526315789474,7.986842105263154,1,1
Chelsea,Manchester City,1,3,3.0,0.0,3.260964912280702,7.986842105263154,1,1
Manchester United,Manchester City,0,0,0.0,0.0,3.655701754385971,7.986842105263154,1,1
Arsenal,Manchester United,0,0,0.0,0.0,5.390350877192983,3.655701754385971,1,1
Aston Villa,Manchester United,1,3,1.0,0.0,4.925438596491231,3.655701754385971,1,1
Liverpool,Manchester United,0,0,0.0,0.0,7.655701754385969,3.655701754385971,1,1
Manchester City,Manchester United,0,2,1.0,0.0,7.986842105263154,3.655701754385971,1,1
Burnley,Manchester United,0,1,0.0,0.0,6.60526315789474,3.655701754385971,1,1
Chelsea,Manchester United,0,0,0.0,0.0,3.260964912280702,3.655701754385971,1,1
Arsenal,Chelsea,3,1,2.0,0.0,5.390350877192983,3.260964912280702,1,1
Aston Villa,Chelsea,2,1,1.0,0.0,4.925438596491231,3.260964912280702,1,1
Liverpool,Chelsea,0,1,1.0,0.0,7.655701754385969,3.260964912280702,1,1
Manchester City,Chelsea,1,2,1.0,0.0,7.986842105263154,3.260964912280702,1,1
Burnley,Chelsea,0,3,1.0,0.0,6.60526315789474,3.260964912280702,1,1
Manchester United,Chelsea,0,0,0.0,0.0,3.655701754385971,3.260964912280702,1,1
Arsenal,Burnley,0,1,0.0,0.0,5.390350877192983,6.60526315789474,1,1
Aston Villa,Burnley,0,0,0.0,0.0,4.925438596491231,6.60526315789474,1,1
Liverpool,Burnley,0,1,0.0,0.0,7.655701754385969,6.60526315789474,1,1
Manchester City,Burnley,5,0,3.0,0.0,7.986842105263154,6.60526315789474,1,1
Chelsea,Burnley,2,0,1.0,0.0,3.260964912280702,6.60526315789474,1,1
Manchester United,Burnley,3,1,0.0,0.0,3.655701754385971,6.60526315789474,1,1
Arsenal,Aston Villa,0,3,1.0,0.0,5.390350877192983,4.925438596491231,1,1
Liverpool,Aston Villa,2,1,1.0,0.0,7.655701754385969,4.925438596491231,1,1
Manchester City,Aston Villa,2,0,0.0,0.0,7.986842105263154,4.925438596491231,1,1
Burnley,Aston Villa,3,2,1.0,0.0,6.60526315789474,4.925438596491231,1,1
Chelsea,Aston Villa,1,1,1.0,0.0,3.260964912280702,4.925438596491231,1,1
Manchester United,Aston Villa,2,1,1.0,0.0,3.655701754385971,4.925438596491231,1,1
Aston Villa,Arsenal,1,0,1.0,0.0,4.925438596491231,5.390350877192983,1,1
Liverpool,Arsenal,3,1,2.0,1.0,7.655701754385969,5.390350877192983,1,1
Manchester City,Arsenal,1,0,1.0,0.0,7.986842105263154,5.390350877192983,1,1
Burnley,Arsenal,1,1,1.0,1.0,6.60526315789474,5.390350877192983,1,1
Chelsea,Arsenal,0,1,1.0,0.0,3.260964912280702,5.390350877192983,1,1
Manchester United,Arsenal,0,1,0.0,0.0,3.655701754385971,5.390350877192983,1,1
Burnley,Watford,1,0,0.0,0.0,5.008771929824567,2.931372549019608,1,1
Chelsea,Watford,3,0,2.0,0.0,3.6842105263157894,2.931372549019608,1,1
Manchester City,Watford,8,0,5.0,0.0,8.232456140350877,2.931372549019608,1,1
Southampton,Watford,2,1,1.0,0.0,3.0811403508771953,2.931372549019608,1,1
Liverpool,Watford,2,0,1.0,0.0,8.690789473684216,2.931372549019608,1,1
Manchester United,Watford,3,0,1.0,0.0,3.8969298245614077,2.931372549019608,1,1
Sheffield United,Watford,1,1,1.0,1.0,5.065789473684212,2.931372549019608,1,1
Burnley,Liverpool,0,3,2.0,0.0,5.008771929824567,8.690789473684216,1,1
Chelsea,Liverpool,1,2,2.0,0.0,3.6842105263157894,8.690789473684216,1,1
Manchester City,Liverpool,4,0,3.0,0.0,8.232456140350877,8.690789473684216,1,1
Southampton,Liverpool,1,2,1.0,0.0,3.0811403508771953,8.690789473684216,1,1
Manchester United,Liverpool,1,1,1.0,0.0,3.8969298245614077,8.690789473684216,1,1
Watford,Liverpool,3,0,0.0,0.0,2.931372549019608,8.690789473684216,1,1
Sheffield United,Liverpool,0,1,0.0,0.0,5.065789473684212,8.690789473684216,1,1
Burnley,Sheffield United,1,1,1.0,0.0,5.008771929824567,5.065789473684212,1,1
Chelsea,Sheffield United,2,2,2.0,0.0,3.6842105263157894,5.065789473684212,1,1
Manchester City,Sheffield United,2,0,1.0,0.0,8.232456140350877,5.065789473684212,1,1
Southampton,Sheffield United,3,1,1.0,0.0,3.0811403508771953,5.065789473684212,1,1
