team1,team2,score1,score2,first_half_goals1,first_half_goals2,rating1,rating2,strategy1,strategy2
Fulham,Brighton and Hove Albion,0,0,0.0,0.0,1.7083333333333357,2.5328947368421026,0,0
Leeds United,Brighton and Hove Albion,0,1,1.0,0.0,1.5065789473684248,2.5328947368421026,0,0
Leicester City,Brighton and Hove Albion,3,0,3.0,0.0,1.8421052631578956,2.5328947368421026,0,0
Sheffield United,Brighton and Hove Albion,1,0,1.0,0.0,2.304824561403512,2.5328947368421026,0,0
West Ham United,Brighton and Hove Albion,2,2,1.0,0.0,2.824561403508776,2.5328947368421026,0,0
Wolverhampton Wanderers,Brighton and Hove Albion,2,1,1.0,0.0,0.969298245614036,2.5328947368421026,0,0
West Bromwich Albion,Brighton and Hove Albion,1,0,1.0,0.0,2.296052631578947,2.5328947368421026,0,0
Crystal Palace,Brighton and Hove Albion,1,1,1.0,0.0,-0.41447368421052744,2.5328947368421026,0,0
Everton,Brighton and Hove Albion,4,2,2.0,1.0,0.1447368421052655,2.5328947368421026,0,0
Newcastle United,Brighton and Hove Albion,0,3,2.0,0.0,1.4013157894736867,2.5328947368421026,0,0
Tottenham Hotspur,Brighton and Hove Albion,2,1,1.0,0.0,1.2236842105263133,2.5328947368421026,0,0
Southampton,Brighton and Hove Albion,1,2,1.0,1.0,-0.3508771929824537,2.5328947368421026,0,0
Fulham,West Bromwich Albion,2,0,2.0,0.0,1.7083333333333357,2.296052631578947,0,0
Leeds United,West Bromwich Albion,3,1,2.0,0.0,1.5065789473684248,2.296052631578947,0,0
Leicester City,West Bromwich Albion,3,0,3.0,0.0,1.8421052631578956,2.296052631578947,0,0
Sheffield United,West Bromwich Albion,2,1,1.0,0.0,2.304824561403512,2.296052631578947,0,0
West Ham United,West Bromwich Albion,2,1,1.0,0.0,2.824561403508776,2.296052631578947,0,0
Wolverhampton Wanderers,West Bromwich Albion,2,3,2.0,1.0,0.969298245614036,2.296052631578947,0,0
Crystal Palace,West Bromwich Albion,1,0,1.0,0.0,-0.41447368421052744,2.296052631578947,0,0
Everton,West Bromwich Albion,5,2,2.0,1.0,0.1447368421052655,2.296052631578947,0,0
Newcastle United,West Bromwich Albion,2,1,1.0,0.0,1.4013157894736867,2.296052631578947,0,0
Tottenham Hotspur,West Bromwich Albion,2,0,0.0,0.0,1.2236842105263133,2.296052631578947,0,0
Brighton and Hove Albion,West Bromwich Albion,1,1,1.0,0.0,2.5328947368421026,2.296052631578947,0,0
Southampton,West Bromwich Albion,2,0,1.0,0.0,-0.3508771929824537,2.296052631578947,0,0
Fulham,Everton,2,3,1.0,3.0,1.7083333333333357,0.1447368421052655,0,0
Leeds United,Everton,1,2,2.0,0.0,1.5065789473684248,0.1447368421052655,0,0
Leicester City,Everton,0,2,1.0,0.0,1.8421052631578956,0.1447368421052655,0,0
Sheffield United,Everton,0,1,0.0,0.0,2.304824561403512,0.1447368421052655,0,0
West Ham United,Everton,0,1,1.0,0.0,2.824561403508776,0.1447368421052655,0,0
Wolverhampton Wanderers,Everton,1,2,1.0,1.0,0.969298245614036,0.1447368421052655,0,0
West Bromwich Albion,Everton,0,1,0.0,0.0,2.296052631578947,0.1447368421052655,0,0
Crystal Palace,Everton,1,2,1.0,2.0,-0.41447368421052744,0.1447368421052655,0,0
Newcastle United,Everton,2,1,0.0,0.0,1.4013157894736867,0.1447368421052655,0,0
Tottenham Hotspur,Everton,0,1,0.0,0.0,1.2236842105263133,0.1447368421052655,0,0
Brighton and Hove Albion,Everton,0,0,0.0,0.0,2.5328947368421026,0.1447368421052655,0,0
Southampton,Everton,2,0,2.0,0.0,-0.3508771929824537,0.1447368421052655,0,0
Leeds United,Fulham,4,3,2.0,1.0,1.5065789473684248,1.7083333333333357,0,0
Leicester City,Fulham,1,2,2.0,0.0,1.8421052631578956,1.7083333333333357,0,0
Sheffield United,Fulham,1,1,0.0,0.0,2.304824561403512,1.7083333333333357,0,0
West Ham United,Fulham,1,0,0.0,0.0,2.824561403508776,1.7083333333333357,0,0
Wolverhampton Wanderers,Fulham,1,0,0.0,0.0,0.969298245614036,1.7083333333333357,0,0
West Bromwich Albion,Fulham,2,2,1.0,0.0,2.296052631578947,1.7083333333333357,0,0
Crystal Palace,Fulham,0,0,0.0,0.0,-0.41447368421052744,1.7083333333333357,0,0
Everton,Fulham,0,2,0.0,0.0,0.1447368421052655,1.7083333333333357,0,0
Newcastle United,Fulham,1,1,1.0,0.0,1.4013157894736867,1.7083333333333357,0,0
Tottenham Hotspur,Fulham,1,1,1.0,0.0,1.2236842105263133,1.7083333333333357,0,0
Brighton and Hove Albion,Fulham,0,0,0.0,0.0,2.5328947368421026,1.7083333333333357,0,0
Southampton,Fulham,3,1,1.0,0.0,-0.3508771929824537,1.7083333333333357,0,0
Fulham,Tottenham Hotspur,0,1,1.0,0.0,1.7083333333333357,1.2236842105263133,0,0
Leeds United,Tottenham Hotspur,3,1,2.0,1.0,1.5065789473684248,1.2236842105263133,0,0
Leicester City,Tottenham Hotspur,2,4,1.0,1.0,1.8421052631578956,1.2236842105263133,0,0
Sheffield United,Tottenham Hotspur,1,3,2.0,0.0,2.304824561403512,1.2236842105263133,0,0
West Ham United,Tottenham Hotspur,2,1,1.0,0.0,2.824561403508776,1.2236842105263133,0,0
Wolverhampton Wanderers,Tottenham Hotspur,1,1,1.0,0.0,0.969298245614036,1.2236842105263133,0,0
West Bromwich Albion,Tottenham Hotspur,0,1,0.0,0.0,2.296052631578947,1.2236842105263133,0,0
Crystal Palace,Tottenham Hotspur,1,1,1.0,0.0,-0.41447368421052744,1.2236842105263133,0,0
Everton,Tottenham Hotspur,2,2,1.0,1.0,0.1447368421052655,1.2236842105263133,0,0
Newcastle United,Tottenham Hotspur,2,2,1.0,2.0,1.4013157894736867,1.2236842105263133,0,0
Brighton and Hove Albion,Tottenham Hotspur,1,0,1.0,0.0,2.5328947368421026,1.2236842105263133,0,0
Southampton,Tottenham Hotspur,2,5,1.0,1.0,-0.3508771929824537,1.2236842105263133,0,0
Fulham,Leeds United,1,2,1.0,1.0,1.7083333333333357,1.5065789473684248,0,0
Leicester City,Leeds United,1,3,1.0,1.0,1.8421052631578956,1.5065789473684248,0,0
Sheffield United,Leeds United,0,1,0.0,0.0,2.304824561403512,1.5065789473684248,0,0
West Ham United,Leeds United,2,0,2.0,0.0,2.824561403508776,1.5065789473684248,0,0
Wolverhampton Wanderers,Leeds United,1,0,0.0,0.0,0.969298245614036,1.5065789473684248,0,0
