team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Arsenal,3,2.0,3421.0,49.5,3.0,621.0,438.0,49.0,28.0,47.0,291.0,141.0,4.0,13.0,1.0,18.0,8.0,11.0,155.0,10.0
Arsenal,2,0.0,3421.0,62.5,10.0,744.0,543.0,44.0,58.0,49.0,402.0,227.0,0.0,0.0,2.0,9.0,13.0,11.0,171.0,15.0
Arsenal,2,0.0,3421.0,50.0,1.0,705.0,524.0,37.0,24.0,54.0,361.0,153.0,0.0,0.0,2.0,19.0,14.0,5.0,183.0,14.0
Arsenal,1,0.0,3421.0,68.9,6.0,874.0,692.0,52.0,48.0,71.0,491.0,278.0,0.0,0.0,8.0,10.0,13.0,12.0,230.0,9.0
Arsenal,3,0.0,4231.0,65.8,7.0,858.0,680.0,57.0,47.0,71.0,409.0,196.0,0.0,0.0,2.0,18.0,15.0,13.0,282.0,11.0
Arsenal,2,1.0,4231.0,44.4,5.0,611.0,405.0,37.0,33.0,59.0,263.0,143.0,0.0,0.0,5.0,24.0,14.0,20.0,155.0,8.0
Arsenal,2,1.0,4231.0,49.1,8.0,665.0,483.0,50.0,29.0,57.0,304.0,187.0,0.0,0.0,4.0,21.0,12.0,9.0,188.0,12.0
Arsenal,1,2.0,4231.0,73.5,8.0,820.0,598.0,52.0,51.0,77.0,375.0,199.0,0.0,0.0,2.0,20.0,17.0,8.0,250.0,12.0
Arsenal,2,0.0,4231.0,69.8,7.0,795.0,578.0,55.0,43.0,64.0,375.0,218.0,0.0,0.0,2.0,11.0,8.0,7.0,224.0,12.0
Arsenal,2,1.0,4231.0,64.1,5.0,837.0,637.0,64.0,47.0,67.0,431.0,231.0,0.0,0.0,2.0,25.0,16.0,9.0,226.0,9.0
Arsenal,1,0.0,4231.0,75.6,8.0,989.0,813.0,53.0,51.0,91.0,630.0,400.0,0.0,0.0,4.0,15.0,8.0,11.0,201.0,12.0
Arsenal,3,1.0,4231.0,64.4,7.0,725.0,539.0,40.0,42.0,60.0,398.0,235.0,0.0,0.0,3.0,14.0,13.0,13.0,158.0,9.0
