team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Tottenham Hotspur,2,1.0,4231.0,60.0,5.0,724.0,530.0,52.0,29.0,79.0,322.0,169.0,0.0,0.0,2.0,18.0,26.0,11.0,226.0,14.0
Tottenham Hotspur,2,0.0,4231.0,51.2,6.0,633.0,416.0,30.0,40.0,58.0,286.0,148.0,0.0,0.0,2.0,14.0,21.0,8.0,157.0,7.0
Tottenham Hotspur,4,2.0,4231.0,68.8,1.0,834.0,655.0,51.0,46.0,85.0,413.0,224.0,0.0,0.0,3.0,13.0,13.0,4.0,265.0,8.0
Tottenham Hotspur,4,3.0,4231.0,58.7,5.0,693.0,501.0,36.0,30.0,75.0,357.0,174.0,0.0,0.0,1.0,23.0,13.0,9.0,163.0,12.0
Tottenham Hotspur,2,2.0,3421.0,50.5,2.0,647.0,456.0,39.0,24.0,79.0,319.0,156.0,0.0,0.0,2.0,13.0,26.0,13.0,147.0,12.0
Tottenham Hotspur,3,1.0,3421.0,51.5,5.0,677.0,462.0,40.0,30.0,81.0,316.0,159.0,0.0,0.0,2.0,15.0,17.0,8.0,164.0,9.0
Tottenham Hotspur,4,4.0,3421.0,64.3,7.0,782.0,588.0,46.0,24.0,67.0,339.0,156.0,0.0,0.0,1.0,11.0,14.0,7.0,263.0,11.0
Tottenham Hotspur,1,0.0,4231.0,65.2,6.0,816.0,583.0,53.0,47.0,93.0,420.0,211.0,0.0,0.0,5.0,20.0,10.0,4.0,196.0,8.0
Tottenham Hotspur,4,2.0,3421.0,72.9,7.0,876.0,670.0,50.0,32.0,70.0,434.0,176.0,0.0,0.0,1.0,22.0,14.0,6.0,259.0,11.0
Tottenham Hotspur,2,1.0,3421.0,45.5,6.0,633.0,440.0,44.0,21.0,58.0,248.0,109.0,0.0,0.0,2.0,24.0,20.0,7.0,205.0,9.0
Tottenham Hotspur,2,1.0,4321.0,60.2,12.0,740.0,482.0,38.0,42.0,49.0,351.0,170.0,0.0,0.0,2.0,16.0,24.0,9.0,161.0,10.0
Tottenham Hotspur,3,1.0,343.0,63.4,6.0,862.0,670.0,55.0,27.0,65.0,369.0,175.0,0.0,0.0,2.0,6.0,17.0,5.0,318.0,6.0
Tottenham Hotspur,5,2.0,4231.0,60.0,7.0,811.0,575.0,53.0,36.0,77.0,338.0,177.0,0.0,0.0,3.0,16.0,21.0,6.0,254.0,11.0
Tottenham Hotspur,3,1.0,4312.0,66.9,4.0,801.0,595.0,54.0,39.0,77.0,349.0,156.0,0.0,0.0,2.0,15.0,13.0,5.0,273.0,13.0
Tottenham Hotspur,1,1.0,4231.0,64.1,11.0,724.0,493.0,46.0,44.0,73.0,320.0,161.0,0.0,0.0,2.0,11.0,7.0,9.0,199.0,11.0
Tottenham Hotspur,2,2.0,4141.0,42.3,4.0,576.0,348.0,29.0,28.0,67.0,240.0,140.0,0.0,0.0,8.0,23.0,19.0,14.0,122.0,20.0
Tottenham Hotspur,1,0.0,4231.0,73.7,15.0,835.0,613.0,54.0,47.0,72.0,394.0,190.0,0.0,0.0,0.0,16.0,8.0,6.0,249.0,7.0
Tottenham Hotspur,1,1.0,4231.0,49.3,5.0,631.0,419.0,48.0,27.0,70.0,268.0,138.0,0.0,0.0,2.0,22.0,35.0,10.0,168.0,11.0
Tottenham Hotspur,1,0.0,4231.0,56.9,9.0,674.0,440.0,40.0,29.0,66.0,275.0,129.0,0.0,0.0,2.0,29.0,14.0,8.0,186.0,19.0
Tottenham Hotspur,7,0.0,4231.0,65.3,3.0,802.0,600.0,54.0,45.0,87.0,416.0,208.0,0.0,0.0,0.0,14.0,17.0,11.0,204.0,5.0
Tottenham Hotspur,6,0.0,3421.0,62.7,11.0,781.0,561.0,60.0,30.0,59.0,318.0,163.0,0.0,0.0,2.0,17.0,12.0,8.0,258.0,8.0
Tottenham Hotspur,0,0.0,4231.0,67.6,4.0,744.0,571.0,53.0,37.0,94.0,379.0,180.0,0.0,0.0,0.0,17.0,16.0,5.0,216.0,9.0
Tottenham Hotspur,1,0.0,3421.0,68.9,8.0,810.0,593.0,52.0,39.0,89.0,421.0,218.0,0.0,0.0,0.0,24.0,23.0,5.0,197.0,15.0
Tottenham Hotspur,3,0.0,4231.0,71.8,5.0,830.0,642.0,40.0,38.0,86.0,426.0,234.0,0.0,0.0,4.0,20.0,16.0,5.0,240.0,8.0
Tottenham Hotspur,2,0.0,3421.0,61.0,6.0,792.0,573.0,45.0,23.0,55.0,287.0,141.0,0.0,0.0,1.0,12.0,19.0,8.0,300.0,6.0
Tottenham Hotspur,0,0.0,4231.0,49.1,4.0,641.0,421.0,41.0,25.0,58.0,230.0,106.0,0.0,0.0,1.0,20.0,27.0,11.0,204.0,14.0
Tottenham Hotspur,0,0.0,4231.0,71.6,0.0,762.0,557.0,45.0,52.0,85.0,392.0,220.0,0.0,0.0,3.0,11.0,15.0,2.0,200.0,13.0
Tottenham Hotspur,2,0.0,3421.0,45.4,3.0,622.0,399.0,32.0,25.0,57.0,213.0,91.0,0.0,0.0,5.0,19.0,26.0,12.0,198.0,7.0
Tottenham Hotspur,4,0.0,3142.0,66.2,11.0,779.0,578.0,55.0,31.0,68.0,309.0,163.0,0.0,0.0,3.0,22.0,17.0,8.0,286.0,6.0
Tottenham Hotspur,4,1.0,4231.0,65.7,7.0,825.0,622.0,39.0,40.0,71.0,390.0,213.0,0.0,0.0,0.0,29.0,17.0,5.0,252.0,16.0
Tottenham Hotspur,0,0.0,4231.0,59.8,4.0,663.0,429.0,36.0,29.0,81.0,303.0,154.0,0.0,0.0,0.0,22.0,16.0,10.0,152.0,17.0
Tottenham Hotspur,1,1.0,4231.0,54.1,5.0,671.0,459.0,43.0,25.0,80.0,332.0,147.0,0.0,0.0,3.0,22.0,16.0,10.0,146.0,16.0
Tottenham Hotspur,1,0.0,3421.0,54.3,7.0,731.0,522.0,51.0,22.0,71.0,278.0,132.0,0.0,0.0,1.0,15.0,29.0,15.0,256.0,17.0
Tottenham Hotspur,0,0.0,4231.0,61.6,6.0,756.0,543.0,49.0,29.0,80.0,339.0,176.0,0.0,0.0,3.0,18.0,20.0,9.0,213.0,15.0
Tottenham Hotspur,1,0.0,4141.0,71.5,3.0,812.0,601.0,37.0,34.0,81.0,388.0,205.0,0.0,0.0,3.0,11.0,19.0,8.0,236.0,10.0
Tottenham Hotspur,2,0.0,433.0,58.4,7.0,750.0,550.0,45.0,37.0,81.0,349.0,182.0,0.0,0.0,0.0,15.0,18.0,7.0,218.0,9.0
Tottenham Hotspur,4,0.0,4231.0,60.3,4.0,700.0,510.0,42.0,38.0,71.0,308.0,153.0,0.0,0.0,0.0,8.0,15.0,11.0,220.0,18.0
Tottenham Hotspur,1,0.0,4231.0,57.5,4.0,710.0,483.0,39.0,35.0,77.0,322.0,176.0,0.0,0.0,0.0,18.0,27.0,15.0,182.0,14.0
