team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Liverpool,4,2.0,4411.0,72.3,5.0,898.0,737.0,73.0,46.0,92.0,456.0,215.0,4.0,18.0,1.0,10.0,12.0,9.0,299.0,3.0
Liverpool,0,0.0,433.0,71.9,8.0,835.0,632.0,64.0,56.0,97.0,430.0,217.0,6.0,14.0,2.0,6.0,24.0,6.0,231.0,7.0
Liverpool,3,1.0,433.0,61.8,10.0,817.0,619.0,53.0,49.0,67.0,391.0,187.0,9.0,11.0,4.0,26.0,17.0,10.0,248.0,9.0
Liverpool,5,2.0,433.0,58.0,1.0,771.0,581.0,54.0,34.0,65.0,293.0,130.0,3.0,10.0,6.0,18.0,24.0,8.0,301.0,5.0
Liverpool,2,1.0,433.0,70.9,3.0,945.0,772.0,83.0,33.0,101.0,426.0,203.0,2.0,12.0,4.0,26.0,11.0,12.0,362.0,7.0
Liverpool,4,1.0,433.0,68.3,7.0,901.0,712.0,53.0,48.0,80.0,481.0,246.0,7.0,14.0,1.0,27.0,14.0,8.0,256.0,7.0
Liverpool,2,1.0,433.0,34.1,4.0,513.0,302.0,22.0,25.0,66.0,200.0,130.0,3.0,6.0,2.0,17.0,20.0,10.0,117.0,15.0
Liverpool,4,1.0,433.0,35.7,4.0,583.0,367.0,30.0,27.0,48.0,216.0,116.0,9.0,7.0,3.0,33.0,16.0,19.0,163.0,10.0
Liverpool,2,1.0,433.0,60.6,7.0,788.0,566.0,45.0,44.0,73.0,366.0,209.0,5.0,13.0,4.0,15.0,29.0,8.0,219.0,7.0
Liverpool,5,1.0,433.0,55.0,7.0,784.0,601.0,49.0,33.0,65.0,317.0,161.0,8.0,14.0,3.0,20.0,17.0,11.0,302.0,5.0
Liverpool,0,0.0,442.0,70.2,3.0,929.0,711.0,58.0,46.0,82.0,424.0,238.0,4.0,10.0,1.0,20.0,21.0,11.0,303.0,16.0
