team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
West Bromwich Albion,1,0.0,4411.0,26.2,6.0,410.0,210.0,26.0,23.0,40.0,123.0,50.0,2.0,7.0,2.0,16.0,15.0,8.0,104.0,13.0
West Bromwich Albion,2,1.0,4411.0,38.4,6.0,527.0,344.0,31.0,30.0,56.0,221.0,108.0,3.0,10.0,1.0,14.0,22.0,13.0,152.0,12.0
West Bromwich Albion,1,0.0,442.0,51.7,4.0,673.0,479.0,53.0,33.0,69.0,287.0,127.0,8.0,7.0,6.0,13.0,18.0,11.0,217.0,15.0
West Bromwich Albion,1,1.0,352.0,47.5,3.0,582.0,414.0,45.0,32.0,62.0,252.0,135.0,1.0,7.0,2.0,20.0,8.0,6.0,188.0,12.0
West Bromwich Albion,1,1.0,433.0,43.8,3.0,545.0,362.0,38.0,27.0,73.0,237.0,134.0,4.0,2.0,1.0,17.0,17.0,7.0,146.0,6.0
West Bromwich Albion,1,0.0,442.0,53.3,5.0,634.0,405.0,42.0,30.0,79.0,248.0,125.0,4.0,6.0,7.0,13.0,14.0,12.0,175.0,11.0
West Bromwich Albion,2,1.0,442.0,38.9,4.0,508.0,322.0,45.0,35.0,74.0,244.0,132.0,5.0,4.0,1.0,11.0,19.0,16.0,102.0,12.0
West Bromwich Albion,2,1.0,442.0,44.1,6.0,545.0,355.0,43.0,30.0,70.0,259.0,140.0,7.0,8.0,3.0,9.0,19.0,11.0,118.0,8.0
West Bromwich Albion,1,0.0,532.0,34.7,4.0,517.0,322.0,38.0,31.0,54.0,243.0,116.0,5.0,9.0,1.0,14.0,11.0,12.0,107.0,14.0
West Bromwich Albion,0,0.0,442.0,52.7,10.0,577.0,370.0,33.0,53.0,57.0,287.0,135.0,5.0,12.0,1.0,13.0,13.0,8.0,124.0,14.0
West Bromwich Albion,1,2.0,433.0,43.1,3.0,607.0,433.0,54.0,33.0,68.0,285.0,144.0,5.0,7.0,1.0,15.0,16.0,20.0,170.0,14.0
West Bromwich Albion,0,0.0,433.0,51.1,8.0,616.0,395.0,43.0,41.0,78.0,286.0,167.0,5.0,15.0,3.0,15.0,15.0,16.0,135.0,11.0
West Bromwich Albion,2,1.0,352.0,47.9,2.0,610.0,401.0,37.0,23.0,67.0,247.0,117.0,3.0,5.0,2.0,22.0,18.0,13.0,175.0,13.0
West Bromwich Albion,0,3.0,352.0,38.6,5.0,557.0,378.0,44.0,25.0,61.0,226.0,102.0,2.0,5.0,3.0,18.0,13.0,13.0,173.0,13.0
West Bromwich Albion,2,1.0,352.0,21.7,1.0,416.0,254.0,25.0,15.0,50.0,138.0,70.0,2.0,5.0,5.0,21.0,21.0,17.0,122.0,10.0
West Bromwich Albion,2,2.0,4231.0,34.9,3.0,501.0,295.0,37.0,27.0,60.0,172.0,91.0,2.0,7.0,1.0,25.0,13.0,10.0,141.0,12.0
West Bromwich Albion,0,0.0,4231.0,36.8,3.0,436.0,290.0,33.0,17.0,47.0,177.0,70.0,2.0,4.0,3.0,7.0,5.0,9.0,128.0,15.0
West Bromwich Albion,1,0.0,4231.0,42.8,8.0,494.0,314.0,32.0,42.0,53.0,217.0,98.0,2.0,8.0,2.0,17.0,14.0,3.0,131.0,10.0
West Bromwich Albion,1,1.0,4141.0,28.7,9.0,419.0,242.0,29.0,32.0,59.0,166.0,97.0,5.0,11.0,2.0,19.0,10.0,14.0,92.0,15.0
West Bromwich Albion,0,0.0,4411.0,40.8,6.0,584.0,379.0,36.0,23.0,53.0,231.0,102.0,5.0,2.0,1.0,34.0,14.0,18.0,163.0,11.0
West Bromwich Albion,1,0.0,4411.0,36.5,6.0,556.0,342.0,34.0,15.0,76.0,234.0,116.0,3.0,6.0,0.0,18.0,25.0,14.0,118.0,13.0
