team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Burnley,1,0.0,442.0,39.7,6.0,527.0,341.0,36.0,36.0,62.0,242.0,112.0,2.0,12.0,4.0,15.0,13.0,13.0,121.0,11.0
Burnley,0,0.0,442.0,30.1,2.0,442.0,263.0,26.0,23.0,53.0,173.0,94.0,8.0,2.0,2.0,16.0,12.0,13.0,101.0,5.0
Burnley,2,1.0,442.0,46.0,6.0,496.0,280.0,28.0,34.0,48.0,210.0,105.0,3.0,11.0,3.0,15.0,25.0,4.0,97.0,7.0
Burnley,2,1.0,442.0,37.2,3.0,497.0,322.0,27.0,14.0,56.0,185.0,93.0,1.0,5.0,1.0,15.0,25.0,6.0,144.0,12.0
Burnley,1,1.0,442.0,62.2,7.0,661.0,472.0,54.0,49.0,71.0,347.0,168.0,4.0,9.0,4.0,12.0,18.0,4.0,163.0,9.0
Burnley,1,1.0,442.0,56.3,10.0,643.0,422.0,39.0,55.0,78.0,305.0,158.0,5.0,13.0,2.0,16.0,15.0,7.0,157.0,9.0
Burnley,2,0.0,442.0,30.5,3.0,442.0,214.0,31.0,34.0,57.0,183.0,101.0,2.0,8.0,4.0,12.0,19.0,11.0,54.0,9.0
Burnley,1,0.0,442.0,54.2,3.0,665.0,457.0,48.0,48.0,78.0,326.0,142.0,1.0,14.0,2.0,11.0,25.0,3.0,159.0,10.0
Burnley,2,2.0,442.0,41.8,5.0,609.0,419.0,44.0,24.0,65.0,269.0,120.0,6.0,5.0,2.0,22.0,17.0,13.0,162.0,5.0
Burnley,2,2.0,442.0,43.0,9.0,559.0,338.0,39.0,36.0,54.0,238.0,109.0,3.0,14.0,4.0,21.0,24.0,12.0,119.0,15.0
Burnley,1,1.0,532.0,49.0,6.0,579.0,401.0,38.0,37.0,79.0,256.0,146.0,4.0,7.0,2.0,17.0,17.0,2.0,163.0,11.0
Burnley,1,1.0,442.0,37.4,4.0,491.0,307.0,43.0,26.0,73.0,216.0,106.0,4.0,10.0,2.0,12.0,14.0,11.0,106.0,11.0
Burnley,1,0.0,442.0,25.8,3.0,405.0,228.0,21.0,20.0,53.0,176.0,97.0,5.0,5.0,6.0,13.0,13.0,16.0,67.0,10.0
Burnley,1,1.0,442.0,56.5,8.0,783.0,585.0,68.0,42.0,81.0,355.0,138.0,5.0,9.0,1.0,15.0,11.0,8.0,257.0,6.0
Burnley,0,1.0,4411.0,30.2,4.0,490.0,325.0,37.0,22.0,39.0,191.0,72.0,3.0,4.0,5.0,13.0,21.0,12.0,157.0,14.0
Burnley,1,1.0,442.0,31.8,7.0,473.0,275.0,30.0,18.0,60.0,194.0,94.0,2.0,4.0,3.0,17.0,18.0,11.0,95.0,9.0
Burnley,4,2.0,4411.0,37.6,3.0,551.0,360.0,38.0,34.0,61.0,258.0,132.0,2.0,10.0,1.0,15.0,21.0,15.0,122.0,17.0
Burnley,0,2.0,4411.0,46.6,6.0,599.0,437.0,47.0,36.0,70.0,333.0,153.0,4.0,5.0,1.0,12.0,9.0,6.0,127.0,7.0
Burnley,1,1.0,4411.0,58.4,3.0,654.0,461.0,45.0,36.0,72.0,312.0,134.0,3.0,5.0,2.0,15.0,13.0,10.0,181.0,8.0
Burnley,0,0.0,442.0,39.9,4.0,565.0,369.0,43.0,32.0,65.0,243.0,135.0,2.0,3.0,2.0,17.0,13.0,11.0,138.0,9.0
Burnley,2,2.0,442.0,23.6,2.0,425.0,219.0,25.0,15.0,51.0,135.0,70.0,2.0,4.0,2.0,15.0,21.0,15.0,89.0,4.0
Burnley,3,2.0,442.0,40.1,4.0,462.0,284.0,37.0,37.0,72.0,219.0,108.0,3.0,7.0,5.0,12.0,14.0,4.0,93.0,16.0
Burnley,2,1.0,442.0,31.4,0.0,506.0,290.0,35.0,21.0,63.0,193.0,98.0,2.0,1.0,7.0,27.0,18.0,6.0,110.0,7.0
Burnley,0,0.0,442.0,45.7,6.0,572.0,367.0,37.0,34.0,54.0,208.0,95.0,1.0,11.0,0.0,25.0,21.0,8.0,177.0,8.0
Burnley,3,0.0,442.0,31.8,2.0,453.0,253.0,28.0,16.0,50.0,163.0,75.0,3.0,6.0,0.0,11.0,13.0,6.0,98.0,7.0
Burnley,2,0.0,442.0,25.6,0.0,428.0,228.0,29.0,17.0,50.0,143.0,75.0,3.0,3.0,4.0,13.0,12.0,12.0,92.0,9.0
Burnley,0,0.0,442.0,45.2,7.0,517.0,330.0,30.0,41.0,68.0,229.0,127.0,3.0,9.0,8.0,12.0,6.0,9.0,126.0,9.0
Burnley,2,1.0,442.0,57.1,7.0,698.0,483.0,44.0,26.0,74.0,310.0,153.0,5.0,11.0,0.0,10.0,14.0,14.0,192.0,9.0
Burnley,1,0.0,532.0,39.9,3.0,515.0,357.0,50.0,27.0,56.0,231.0,107.0,2.0,5.0,4.0,17.0,14.0,13.0,139.0,14.0
Burnley,0,0.0,541.0,29.7,2.0,437.0,264.0,26.0,23.0,56.0,178.0,93.0,1.0,3.0,1.0,23.0,20.0,11.0,98.0,8.0
Burnley,0,0.0,4411.0,41.4,2.0,563.0,357.0,51.0,29.0,61.0,229.0,121.0,0.0,4.0,2.0,18.0,20.0,15.0,151.0,10.0
Burnley,0,0.0,442.0,37.0,3.0,488.0,298.0,36.0,25.0,62.0,200.0,101.0,3.0,3.0,2.0,9.0,14.0,7.0,109.0,10.0
Burnley,2,1.0,4411.0,37.2,1.0,495.0,312.0,36.0,17.0,54.0,193.0,93.0,2.0,4.0,2.0,19.0,16.0,7.0,128.0,9.0
Burnley,0,0.0,4411.0,30.9,4.0,451.0,302.0,33.0,18.0,47.0,155.0,70.0,1.0,4.0,0.0,12.0,14.0,12.0,156.0,5.0
Burnley,2,0.0,4411.0,45.7,1.0,496.0,287.0,19.0,18.0,48.0,193.0,90.0,1.0,2.0,1.0,12.0,17.0,10.0,102.0,15.0
Burnley,0,0.0,442.0,41.1,5.0,571.0,395.0,42.0,18.0,57.0,231.0,97.0,5.0,2.0,1.0,17.0,17.0,12.0,176.0,9.0
Burnley,2,2.0,4411.0,36.2,5.0,492.0,301.0,47.0,33.0,73.0,225.0,115.0,3.0,9.0,5.0,21.0,12.0,11.0,103.0,8.0
Burnley,0,0.0,4411.0,52.3,6.0,591.0,408.0,48.0,34.0,70.0,294.0,148.0,6.0,10.0,5.0,9.0,13.0,5.0,134.0,9.0
