team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Crystal Palace,5,3.0,442.0,45.0,7.0,627.0,429.0,32.0,22.0,48.0,267.0,131.0,5.0,12.0,4.0,16.0,13.0,13.0,175.0,11.0
Crystal Palace,0,0.0,442.0,36.1,5.0,564.0,313.0,23.0,22.0,40.0,183.0,96.0,4.0,4.0,4.0,21.0,27.0,16.0,140.0,9.0
Crystal Palace,1,1.0,451.0,27.6,2.0,486.0,274.0,34.0,19.0,36.0,161.0,71.0,4.0,3.0,1.0,22.0,12.0,17.0,124.0,5.0
Crystal Palace,2,0.0,433.0,48.5,6.0,630.0,423.0,40.0,25.0,51.0,224.0,120.0,4.0,15.0,6.0,15.0,12.0,17.0,211.0,10.0
Crystal Palace,1,1.0,433.0,62.7,5.0,803.0,579.0,50.0,45.0,72.0,347.0,171.0,6.0,9.0,1.0,28.0,27.0,6.0,258.0,8.0
Crystal Palace,1,1.0,433.0,45.5,11.0,571.0,374.0,38.0,31.0,55.0,247.0,106.0,7.0,10.0,2.0,18.0,13.0,13.0,149.0,8.0
Crystal Palace,1,1.0,433.0,57.2,10.0,714.0,482.0,46.0,47.0,71.0,318.0,162.0,8.0,17.0,4.0,17.0,18.0,12.0,193.0,12.0
Crystal Palace,2,1.0,442.0,37.3,5.0,556.0,346.0,29.0,35.0,48.0,246.0,116.0,4.0,13.0,1.0,24.0,20.0,11.0,127.0,9.0
Crystal Palace,1,1.0,433.0,55.3,6.0,629.0,409.0,35.0,38.0,50.0,285.0,145.0,6.0,9.0,3.0,31.0,19.0,4.0,148.0,11.0
Crystal Palace,0,0.0,451.0,34.2,2.0,579.0,394.0,39.0,15.0,50.0,206.0,88.0,8.0,4.0,3.0,13.0,15.0,15.0,202.0,11.0
Crystal Palace,0,0.0,442.0,62.4,12.0,735.0,487.0,48.0,45.0,72.0,330.0,191.0,9.0,22.0,3.0,10.0,14.0,10.0,184.0,9.0
Crystal Palace,1,1.0,442.0,43.3,5.0,618.0,384.0,41.0,20.0,57.0,257.0,109.0,4.0,4.0,6.0,27.0,23.0,12.0,140.0,10.0
Crystal Palace,2,1.0,442.0,58.6,11.0,716.0,518.0,48.0,31.0,56.0,324.0,190.0,12.0,17.0,1.0,9.0,16.0,10.0,209.0,9.0
Crystal Palace,0,0.0,442.0,35.4,5.0,524.0,306.0,25.0,31.0,47.0,190.0,100.0,3.0,8.0,4.0,20.0,19.0,18.0,140.0,12.0
Crystal Palace,2,1.0,442.0,42.2,11.0,613.0,399.0,36.0,30.0,55.0,243.0,119.0,7.0,9.0,2.0,22.0,19.0,14.0,171.0,10.0
Crystal Palace,0,0.0,442.0,67.1,4.0,835.0,641.0,66.0,28.0,75.0,348.0,160.0,6.0,5.0,1.0,17.0,22.0,10.0,313.0,11.0
Crystal Palace,0,0.0,433.0,61.9,7.0,719.0,481.0,40.0,31.0,55.0,290.0,154.0,7.0,9.0,2.0,29.0,21.0,8.0,212.0,8.0
Crystal Palace,0,0.0,442.0,50.7,7.0,662.0,432.0,46.0,35.0,65.0,275.0,153.0,7.0,13.0,1.0,16.0,25.0,12.0,181.0,11.0
Crystal Palace,0,1.0,442.0,36.8,5.0,551.0,359.0,44.0,20.0,52.0,212.0,98.0,4.0,4.0,2.0,14.0,21.0,14.0,163.0,6.0
Crystal Palace,3,2.0,442.0,60.7,7.0,689.0,446.0,48.0,23.0,46.0,261.0,115.0,8.0,13.0,2.0,16.0,18.0,10.0,197.0,11.0
Crystal Palace,3,0.0,442.0,27.4,5.0,464.0,249.0,29.0,25.0,38.0,172.0,92.0,2.0,14.0,2.0,27.0,12.0,14.0,87.0,12.0
Crystal Palace,1,0.0,442.0,46.2,2.0,584.0,392.0,37.0,20.0,43.0,229.0,91.0,0.0,3.0,4.0,16.0,15.0,8.0,177.0,13.0
Crystal Palace,0,0.0,433.0,34.7,4.0,568.0,364.0,37.0,11.0,37.0,167.0,57.0,2.0,3.0,0.0,17.0,20.0,17.0,202.0,5.0
Crystal Palace,3,0.0,451.0,43.7,4.0,556.0,348.0,29.0,19.0,47.0,209.0,106.0,5.0,5.0,0.0,17.0,15.0,5.0,150.0,9.0
Crystal Palace,4,0.0,433.0,34.6,2.0,493.0,289.0,35.0,9.0,33.0,157.0,63.0,2.0,5.0,0.0,15.0,14.0,15.0,138.0,14.0
Crystal Palace,1,0.0,433.0,41.2,9.0,588.0,371.0,29.0,25.0,50.0,211.0,104.0,9.0,6.0,0.0,23.0,23.0,8.0,177.0,8.0
Crystal Palace,3,0.0,451.0,29.4,3.0,511.0,304.0,29.0,12.0,45.0,168.0,70.0,1.0,8.0,3.0,23.0,18.0,11.0,146.0,8.0
Crystal Palace,2,0.0,433.0,48.1,6.0,698.0,480.0,46.0,32.0,55.0,298.0,139.0,8.0,9.0,0.0,19.0,27.0,12.0,203.0,7.0
Crystal Palace,3,2.0,451.0,21.7,2.0,404.0,213.0,13.0,5.0,30.0,118.0,47.0,1.0,4.0,1.0,23.0,19.0,16.0,97.0,6.0
Crystal Palace,2,0.0,442.0,51.7,2.0,656.0,474.0,46.0,24.0,55.0,325.0,146.0,3.0,5.0,0.0,19.0,23.0,8.0,165.0,8.0
Crystal Palace,1,0.0,442.0,68.5,8.0,809.0,591.0,43.0,34.0,75.0,429.0,199.0,8.0,10.0,0.0,17.0,15.0,5.0,179.0,12.0
Crystal Palace,0,0.0,442.0,40.2,9.0,567.0,351.0,29.0,19.0,49.0,254.0,123.0,8.0,5.0,3.0,13.0,15.0,13.0,105.0,12.0
Crystal Palace,1,0.0,442.0,26.3,2.0,492.0,313.0,32.0,16.0,38.0,166.0,76.0,3.0,4.0,1.0,21.0,14.0,19.0,152.0,13.0
Crystal Palace,0,0.0,442.0,40.2,4.0,551.0,350.0,28.0,25.0,51.0,214.0,115.0,3.0,4.0,0.0,23.0,14.0,13.0,149.0,17.0
Crystal Palace,1,0.0,433.0,55.6,4.0,712.0,532.0,42.0,32.0,56.0,306.0,145.0,7.0,3.0,2.0,19.0,15.0,12.0,242.0,12.0
Crystal Palace,1,0.0,433.0,41.6,2.0,528.0,363.0,43.0,14.0,48.0,199.0,79.0,1.0,6.0,2.0,13.0,11.0,9.0,174.0,17.0
Crystal Palace,1,0.0,442.0,56.3,5.0,645.0,436.0,45.0,23.0,70.0,273.0,135.0,1.0,8.0,3.0,19.0,15.0,5.0,172.0,11.0
Crystal Palace,2,0.0,442.0,33.7,0.0,564.0,347.0,34.0,21.0,53.0,182.0,100.0,4.0,8.0,3.0,21.0,8.0,14.0,177.0,11.0
