team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Fulham,0,2.0,4231.0,68.1,8.0,940.0,765.0,68.0,44.0,84.0,438.0,197.0,8.0,8.0,1.0,12.0,14.0,13.0,355.0,6.0
Fulham,1,0.0,4231.0,73.0,5.0,833.0,623.0,46.0,29.0,56.0,285.0,131.0,6.0,2.0,1.0,22.0,11.0,6.0,356.0,10.0
Fulham,2,0.0,4231.0,40.6,7.0,566.0,343.0,40.0,23.0,53.0,182.0,84.0,3.0,9.0,1.0,20.0,14.0,8.0,173.0,8.0
Fulham,0,2.0,541.0,34.6,3.0,544.0,359.0,30.0,13.0,37.0,164.0,69.0,2.0,3.0,4.0,20.0,14.0,12.0,203.0,4.0
Fulham,1,1.0,433.0,37.2,2.0,540.0,365.0,30.0,12.0,44.0,199.0,81.0,5.0,2.0,4.0,21.0,18.0,13.0,171.0,11.0
Fulham,1,1.0,4231.0,36.0,4.0,566.0,384.0,35.0,31.0,45.0,195.0,98.0,7.0,5.0,2.0,14.0,17.0,18.0,205.0,11.0
Fulham,0,2.0,4231.0,51.2,7.0,712.0,503.0,33.0,36.0,63.0,310.0,144.0,7.0,8.0,2.0,19.0,28.0,17.0,215.0,14.0
Fulham,4,2.0,343.0,61.9,9.0,848.0,623.0,38.0,40.0,64.0,365.0,160.0,8.0,16.0,1.0,6.0,21.0,11.0,291.0,10.0
Fulham,1,1.0,343.0,26.8,5.0,458.0,245.0,31.0,25.0,44.0,157.0,69.0,5.0,7.0,7.0,13.0,16.0,15.0,105.0,10.0
Fulham,1,0.0,3421.0,43.5,7.0,585.0,395.0,43.0,32.0,75.0,282.0,134.0,2.0,12.0,3.0,8.0,15.0,10.0,135.0,12.0
Fulham,1,0.0,343.0,29.8,5.0,493.0,286.0,35.0,19.0,49.0,179.0,77.0,3.0,8.0,2.0,15.0,9.0,16.0,119.0,9.0
Fulham,0,2.0,442.0,56.0,9.0,700.0,498.0,55.0,38.0,74.0,366.0,163.0,9.0,7.0,6.0,16.0,15.0,5.0,158.0,14.0
Fulham,1,1.0,4231.0,45.5,10.0,533.0,315.0,33.0,33.0,70.0,246.0,137.0,10.0,15.0,2.0,7.0,22.0,14.0,93.0,12.0
Fulham,3,2.0,4231.0,37.2,3.0,578.0,370.0,30.0,23.0,64.0,234.0,115.0,2.0,8.0,4.0,20.0,6.0,8.0,147.0,10.0
Fulham,0,1.0,4231.0,52.0,9.0,704.0,547.0,36.0,26.0,65.0,340.0,132.0,4.0,7.0,1.0,10.0,17.0,13.0,223.0,16.0
Fulham,1,1.0,343.0,48.9,8.0,667.0,473.0,59.0,33.0,68.0,320.0,140.0,14.0,7.0,4.0,16.0,19.0,10.0,170.0,11.0
Fulham,1,1.0,433.0,60.7,6.0,724.0,524.0,50.0,34.0,47.0,272.0,105.0,6.0,9.0,5.0,14.0,15.0,14.0,278.0,11.0
Fulham,4,3.0,433.0,63.8,10.0,735.0,572.0,57.0,32.0,62.0,294.0,152.0,17.0,8.0,1.0,9.0,10.0,4.0,294.0,11.0
Fulham,0,1.0,433.0,66.3,4.0,893.0,672.0,62.0,45.0,78.0,392.0,173.0,9.0,6.0,2.0,25.0,9.0,15.0,312.0,9.0
Fulham,0,0.0,532.0,60.8,3.0,782.0,601.0,62.0,14.0,50.0,263.0,83.0,3.0,3.0,0.0,13.0,8.0,12.0,347.0,15.0
Fulham,1,0.0,4231.0,51.0,6.0,642.0,457.0,54.0,22.0,47.0,292.0,120.0,7.0,10.0,0.0,14.0,14.0,14.0,182.0,18.0
Fulham,1,1.0,343.0,53.4,3.0,756.0,531.0,54.0,30.0,52.0,286.0,124.0,2.0,15.0,0.0,18.0,18.0,8.0,267.0,5.0
Fulham,1,0.0,433.0,47.2,1.0,671.0,464.0,44.0,20.0,43.0,231.0,76.0,3.0,3.0,1.0,26.0,15.0,19.0,247.0,13.0
Fulham,0,0.0,4312.0,59.1,4.0,746.0,566.0,43.0,22.0,58.0,283.0,105.0,7.0,7.0,2.0,15.0,20.0,9.0,294.0,13.0
Fulham,1,1.0,4411.0,44.9,2.0,673.0,473.0,47.0,16.0,51.0,259.0,88.0,4.0,4.0,3.0,18.0,15.0,13.0,222.0,11.0
Fulham,0,0.0,343.0,62.7,7.0,806.0,608.0,64.0,26.0,66.0,344.0,130.0,4.0,4.0,1.0,15.0,18.0,9.0,285.0,12.0
Fulham,1,1.0,343.0,58.2,4.0,785.0,564.0,38.0,32.0,74.0,326.0,141.0,3.0,9.0,0.0,10.0,19.0,13.0,271.0,9.0
Fulham,1,0.0,343.0,40.4,4.0,568.0,365.0,42.0,19.0,49.0,207.0,93.0,0.0,5.0,4.0,18.0,22.0,12.0,172.0,12.0
Fulham,0,0.0,343.0,46.5,0.0,653.0,463.0,39.0,17.0,47.0,231.0,98.0,2.0,2.0,4.0,9.0,15.0,10.0,238.0,12.0
Fulham,1,0.0,4231.0,37.3,4.0,572.0,376.0,30.0,19.0,58.0,250.0,125.0,5.0,5.0,3.0,18.0,18.0,7.0,140.0,15.0
Fulham,0,0.0,41212.0,34.0,4.0,555.0,360.0,30.0,20.0,52.0,230.0,103.0,7.0,2.0,0.0,23.0,19.0,9.0,148.0,17.0
Fulham,0,0.0,4231.0,27.0,4.0,476.0,263.0,22.0,15.0,42.0,145.0,70.0,5.0,3.0,5.0,15.0,18.0,14.0,129.0,9.0
