team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Southampton,1,1.0,442.0,53.7,3.0,659.0,447.0,45.0,25.0,62.0,309.0,138.0,6.0,4.0,1.0,12.0,22.0,9.0,153.0,8.0
Southampton,3,1.0,433.0,44.4,9.0,586.0,351.0,29.0,38.0,68.0,258.0,132.0,10.0,12.0,0.0,25.0,16.0,20.0,120.0,8.0
Southampton,3,2.0,3421.0,30.7,4.0,487.0,281.0,23.0,17.0,58.0,170.0,85.0,3.0,9.0,2.0,23.0,18.0,14.0,116.0,13.0
Southampton,1,1.0,3421.0,33.0,6.0,465.0,272.0,25.0,32.0,48.0,204.0,90.0,5.0,6.0,3.0,16.0,18.0,12.0,88.0,8.0
Southampton,2,1.0,3421.0,36.8,4.0,515.0,291.0,25.0,17.0,52.0,206.0,102.0,5.0,7.0,2.0,15.0,20.0,21.0,103.0,16.0
Southampton,2,2.0,3421.0,40.9,7.0,593.0,380.0,35.0,25.0,74.0,285.0,147.0,7.0,7.0,2.0,22.0,22.0,10.0,114.0,15.0
Southampton,1,0.0,352.0,66.7,5.0,740.0,539.0,44.0,35.0,71.0,369.0,169.0,4.0,10.0,3.0,20.0,18.0,7.0,190.0,15.0
Southampton,1,1.0,352.0,58.8,5.0,741.0,532.0,41.0,23.0,76.0,332.0,159.0,6.0,7.0,2.0,24.0,25.0,9.0,221.0,11.0
Southampton,2,0.0,352.0,39.4,4.0,544.0,302.0,26.0,28.0,53.0,181.0,90.0,2.0,9.0,3.0,20.0,20.0,21.0,141.0,12.0
Southampton,1,1.0,4321.0,23.4,1.0,413.0,235.0,23.0,13.0,31.0,133.0,49.0,2.0,3.0,2.0,25.0,9.0,13.0,112.0,11.0
Southampton,1,0.0,3421.0,45.8,3.0,640.0,409.0,39.0,27.0,69.0,258.0,134.0,4.0,7.0,4.0,25.0,29.0,12.0,168.0,10.0
Southampton,3,2.0,3421.0,33.8,1.0,519.0,317.0,27.0,19.0,51.0,196.0,99.0,7.0,5.0,2.0,20.0,26.0,15.0,135.0,12.0
Southampton,2,2.0,3412.0,40.3,6.0,560.0,358.0,27.0,19.0,49.0,270.0,127.0,11.0,5.0,2.0,20.0,12.0,16.0,101.0,12.0
Southampton,1,1.0,4231.0,42.3,6.0,527.0,305.0,35.0,19.0,53.0,216.0,98.0,7.0,7.0,4.0,17.0,21.0,19.0,106.0,13.0
Southampton,0,0.0,442.0,50.2,13.0,631.0,405.0,41.0,45.0,65.0,301.0,148.0,8.0,14.0,1.0,13.0,21.0,19.0,135.0,9.0
