team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Aston Villa,1,1.0,433.0,31.0,4.0,439.0,264.0,31.0,27.0,37.0,175.0,84.0,2.0,6.0,1.0,16.0,13.0,10.0,113.0,13.0
Aston Villa,2,1.0,433.0,44.9,1.0,494.0,314.0,37.0,35.0,41.0,199.0,90.0,6.0,6.0,1.0,12.0,11.0,13.0,139.0,21.0
Aston Villa,0,2.0,4411.0,33.4,5.0,473.0,310.0,34.0,22.0,41.0,194.0,97.0,5.0,4.0,2.0,9.0,16.0,15.0,132.0,7.0
Aston Villa,0,0.0,41212.0,48.0,8.0,568.0,423.0,44.0,24.0,71.0,282.0,125.0,2.0,9.0,2.0,8.0,12.0,11.0,156.0,16.0
Aston Villa,1,1.0,433.0,26.0,3.0,412.0,246.0,22.0,19.0,52.0,163.0,83.0,2.0,6.0,0.0,8.0,10.0,17.0,93.0,9.0
Aston Villa,0,0.0,433.0,45.1,5.0,575.0,382.0,38.0,28.0,50.0,220.0,98.0,2.0,12.0,1.0,8.0,15.0,5.0,188.0,11.0
Aston Villa,2,1.0,343.0,54.3,8.0,690.0,444.0,30.0,31.0,63.0,237.0,114.0,6.0,12.0,1.0,14.0,28.0,15.0,236.0,12.0
Aston Villa,2,1.0,343.0,64.5,8.0,790.0,558.0,42.0,35.0,64.0,307.0,152.0,3.0,13.0,3.0,9.0,23.0,12.0,287.0,11.0
Aston Villa,1,4.0,532.0,29.4,4.0,538.0,362.0,23.0,16.0,24.0,148.0,60.0,8.0,7.0,1.0,15.0,17.0,9.0,221.0,5.0
Aston Villa,1,0.0,4231.0,42.5,5.0,553.0,363.0,36.0,35.0,48.0,253.0,123.0,3.0,8.0,1.0,19.0,15.0,6.0,136.0,15.0
Aston Villa,1,2.0,433.0,56.5,7.0,667.0,432.0,29.0,38.0,64.0,269.0,148.0,10.0,9.0,2.0,9.0,15.0,14.0,190.0,16.0
Aston Villa,1,1.0,4141.0,40.4,9.0,518.0,306.0,26.0,41.0,46.0,245.0,133.0,4.0,11.0,1.0,14.0,13.0,8.0,92.0,21.0
Aston Villa,2,2.0,433.0,62.0,6.0,687.0,490.0,52.0,48.0,53.0,329.0,171.0,5.0,12.0,1.0,15.0,13.0,6.0,189.0,10.0
Aston Villa,1,1.0,433.0,26.3,1.0,447.0,226.0,25.0,18.0,37.0,151.0,74.0,1.0,3.0,3.0,20.0,21.0,13.0,88.0,12.0
Aston Villa,2,1.0,433.0,48.9,8.0,651.0,441.0,35.0,48.0,52.0,318.0,188.0,8.0,16.0,1.0,6.0,14.0,11.0,154.0,9.0
Aston Villa,2,1.0,433.0,60.2,7.0,610.0,416.0,31.0,36.0,50.0,273.0,138.0,10.0,6.0,2.0,14.0,15.0,9.0,170.0,10.0
Aston Villa,0,0.0,433.0,46.6,4.0,604.0,408.0,38.0,24.0,53.0,245.0,129.0,5.0,5.0,3.0,19.0,25.0,12.0,180.0,13.0
Aston Villa,2,1.0,4141.0,35.2,2.0,503.0,301.0,33.0,19.0,48.0,184.0,98.0,4.0,3.0,8.0,12.0,14.0,13.0,124.0,10.0
Aston Villa,1,2.0,433.0,62.6,9.0,689.0,490.0,38.0,46.0,63.0,298.0,158.0,10.0,11.0,5.0,7.0,19.0,9.0,223.0,10.0
Aston Villa,1,0.0,4141.0,37.0,6.0,444.0,277.0,28.0,31.0,56.0,182.0,89.0,4.0,9.0,0.0,13.0,15.0,10.0,109.0,13.0
Aston Villa,1,0.0,433.0,45.1,7.0,527.0,362.0,42.0,34.0,58.0,242.0,115.0,8.0,7.0,0.0,9.0,11.0,7.0,147.0,13.0
Aston Villa,0,0.0,4411.0,28.8,4.0,457.0,263.0,23.0,27.0,54.0,171.0,95.0,3.0,6.0,5.0,8.0,19.0,17.0,110.0,8.0
Aston Villa,1,0.0,433.0,47.9,7.0,541.0,369.0,38.0,45.0,74.0,281.0,153.0,7.0,7.0,0.0,5.0,7.0,12.0,122.0,13.0
Aston Villa,0,0.0,4141.0,35.4,3.0,510.0,301.0,28.0,15.0,40.0,170.0,55.0,2.0,2.0,2.0,23.0,13.0,10.0,141.0,12.0
Aston Villa,0,0.0,3421.0,54.1,0.0,607.0,398.0,38.0,27.0,44.0,193.0,85.0,1.0,3.0,0.0,13.0,13.0,10.0,225.0,17.0
Aston Villa,1,0.0,343.0,60.4,9.0,660.0,456.0,30.0,38.0,73.0,279.0,151.0,3.0,15.0,3.0,5.0,19.0,9.0,201.0,15.0
Aston Villa,1,0.0,343.0,44.7,5.0,618.0,397.0,29.0,23.0,55.0,222.0,112.0,1.0,7.0,4.0,20.0,25.0,14.0,195.0,13.0
