team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Brighton and Hove Albion,0,0.0,4231.0,62.5,5.0,725.0,542.0,33.0,26.0,60.0,308.0,128.0,3.0,8.0,1.0,12.0,19.0,10.0,257.0,13.0
Brighton and Hove Albion,0,2.0,4411.0,29.8,3.0,476.0,335.0,16.0,17.0,32.0,145.0,73.0,6.0,3.0,6.0,12.0,14.0,17.0,197.0,7.0
Brighton and Hove Albion,1,1.0,4312.0,44.4,7.0,594.0,381.0,20.0,30.0,48.0,181.0,96.0,2.0,10.0,5.0,12.0,18.0,10.0,219.0,7.0
Brighton and Hove Albion,0,2.0,442.0,38.0,5.0,529.0,375.0,28.0,22.0,37.0,178.0,80.0,3.0,5.0,2.0,13.0,19.0,10.0,214.0,10.0
Brighton and Hove Albion,2,0.0,4231.0,41.3,2.0,495.0,325.0,15.0,32.0,36.0,200.0,107.0,2.0,7.0,4.0,22.0,17.0,8.0,150.0,13.0
Brighton and Hove Albion,0,0.0,4231.0,66.5,9.0,778.0,538.0,42.0,38.0,63.0,318.0,168.0,10.0,13.0,1.0,26.0,18.0,10.0,253.0,8.0
Brighton and Hove Albion,1,1.0,4231.0,67.2,5.0,797.0,603.0,51.0,42.0,66.0,366.0,186.0,3.0,7.0,2.0,13.0,7.0,11.0,265.0,9.0
Brighton and Hove Albion,1,1.0,442.0,55.3,3.0,729.0,500.0,33.0,28.0,45.0,243.0,123.0,2.0,8.0,2.0,20.0,23.0,16.0,269.0,11.0
Brighton and Hove Albion,1,1.0,41212.0,47.7,4.0,714.0,484.0,34.0,33.0,50.0,236.0,132.0,5.0,11.0,3.0,20.0,19.0,8.0,265.0,8.0
Brighton and Hove Albion,2,1.0,4231.0,55.1,6.0,706.0,496.0,45.0,34.0,47.0,292.0,147.0,9.0,7.0,3.0,23.0,14.0,15.0,228.0,9.0
Brighton and Hove Albion,0,1.0,4231.0,69.0,4.0,832.0,648.0,43.0,38.0,80.0,352.0,190.0,4.0,5.0,2.0,9.0,10.0,5.0,319.0,6.0
Brighton and Hove Albion,2,2.0,433.0,62.0,5.0,743.0,581.0,42.0,25.0,64.0,317.0,145.0,6.0,7.0,1.0,13.0,23.0,9.0,279.0,10.0
Brighton and Hove Albion,0,0.0,3421.0,52.6,4.0,650.0,458.0,36.0,35.0,57.0,288.0,153.0,2.0,5.0,2.0,11.0,18.0,7.0,194.0,9.0
Brighton and Hove Albion,2,0.0,442.0,58.5,12.0,733.0,538.0,44.0,35.0,58.0,316.0,182.0,6.0,15.0,3.0,19.0,16.0,13.0,241.0,11.0
Brighton and Hove Albion,3,1.0,442.0,55.5,3.0,720.0,533.0,44.0,24.0,50.0,234.0,119.0,3.0,5.0,3.0,18.0,14.0,17.0,307.0,12.0
Brighton and Hove Albion,3,2.0,442.0,47.7,4.0,713.0,494.0,32.0,37.0,59.0,319.0,172.0,7.0,10.0,1.0,22.0,25.0,14.0,191.0,11.0
Brighton and Hove Albion,1,0.0,343.0,62.5,7.0,693.0,491.0,37.0,35.0,64.0,298.0,163.0,3.0,11.0,2.0,21.0,21.0,12.0,209.0,13.0
Brighton and Hove Albion,0,1.0,343.0,50.7,6.0,596.0,394.0,31.0,29.0,47.0,220.0,112.0,3.0,9.0,1.0,16.0,18.0,15.0,192.0,9.0
Brighton and Hove Albion,1,1.0,343.0,57.3,9.0,717.0,497.0,40.0,31.0,61.0,279.0,138.0,4.0,12.0,2.0,20.0,18.0,12.0,243.0,11.0
Brighton and Hove Albion,2,1.0,3412.0,45.8,6.0,520.0,334.0,41.0,20.0,46.0,194.0,88.0,6.0,9.0,2.0,6.0,13.0,7.0,159.0,11.0
Brighton and Hove Albion,1,0.0,3412.0,32.1,4.0,465.0,281.0,28.0,17.0,50.0,172.0,83.0,0.0,10.0,2.0,18.0,12.0,12.0,120.0,10.0
Brighton and Hove Albion,1,0.0,4222.0,42.0,3.0,594.0,418.0,32.0,24.0,46.0,204.0,113.0,2.0,6.0,0.0,11.0,21.0,13.0,229.0,13.0
Brighton and Hove Albion,0,0.0,4222.0,33.6,3.0,487.0,294.0,24.0,16.0,44.0,169.0,79.0,5.0,5.0,0.0,21.0,16.0,10.0,141.0,13.0
Brighton and Hove Albion,0,0.0,433.0,56.9,4.0,821.0,606.0,46.0,20.0,71.0,356.0,163.0,5.0,2.0,0.0,23.0,25.0,11.0,268.0,7.0
