team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Chelsea,2,2.0,343.0,62.9,5.0,833.0,629.0,59.0,24.0,66.0,325.0,141.0,3.0,8.0,3.0,30.0,18.0,8.0,315.0,10.0
Chelsea,1,1.0,433.0,67.7,12.0,950.0,772.0,60.0,41.0,104.0,460.0,235.0,4.0,18.0,1.0,8.0,21.0,16.0,346.0,10.0
Chelsea,3,2.0,433.0,70.4,4.0,923.0,731.0,50.0,30.0,66.0,437.0,194.0,9.0,12.0,1.0,13.0,12.0,11.0,311.0,9.0
Chelsea,2,1.0,433.0,35.3,3.0,517.0,382.0,27.0,11.0,23.0,154.0,67.0,1.0,14.0,3.0,13.0,15.0,8.0,239.0,13.0
Chelsea,4,2.0,433.0,60.2,5.0,823.0,646.0,51.0,29.0,46.0,283.0,131.0,8.0,9.0,1.0,13.0,9.0,7.0,378.0,8.0
Chelsea,2,1.0,3421.0,49.1,8.0,772.0,551.0,36.0,20.0,47.0,281.0,112.0,9.0,8.0,1.0,26.0,21.0,15.0,281.0,14.0
Chelsea,0,1.0,433.0,61.2,6.0,799.0,606.0,42.0,29.0,46.0,328.0,144.0,6.0,11.0,2.0,18.0,19.0,7.0,301.0,11.0
Chelsea,2,1.0,433.0,58.8,5.0,751.0,546.0,39.0,49.0,50.0,394.0,210.0,4.0,15.0,2.0,18.0,11.0,10.0,187.0,11.0
Chelsea,3,2.0,433.0,65.5,4.0,754.0,568.0,38.0,42.0,62.0,326.0,172.0,5.0,13.0,6.0,13.0,15.0,9.0,269.0,7.0
Chelsea,0,1.0,3421.0,66.1,5.0,937.0,688.0,47.0,44.0,69.0,428.0,224.0,4.0,6.0,1.0,21.0,28.0,11.0,293.0,10.0
Chelsea,0,0.0,433.0,67.0,5.0,813.0,590.0,41.0,47.0,71.0,377.0,178.0,3.0,15.0,3.0,15.0,16.0,15.0,255.0,9.0
