team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Everton,1,1.0,4231.0,70.0,5.0,916.0,687.0,48.0,24.0,70.0,349.0,165.0,2.0,11.0,1.0,26.0,29.0,6.0,359.0,11.0
Everton,1,0.0,442.0,54.9,6.0,622.0,443.0,48.0,33.0,58.0,243.0,119.0,4.0,5.0,0.0,10.0,13.0,14.0,230.0,15.0
Everton,1,1.0,442.0,38.7,4.0,522.0,330.0,34.0,18.0,31.0,149.0,48.0,6.0,5.0,3.0,12.0,17.0,12.0,193.0,13.0
Everton,2,2.0,442.0,34.9,2.0,524.0,331.0,35.0,16.0,59.0,196.0,112.0,2.0,5.0,1.0,20.0,12.0,9.0,141.0,13.0
Everton,0,0.0,442.0,29.9,3.0,426.0,256.0,23.0,9.0,35.0,111.0,54.0,1.0,7.0,2.0,20.0,15.0,11.0,148.0,15.0
Everton,1,1.0,442.0,44.1,6.0,551.0,327.0,34.0,34.0,54.0,232.0,125.0,4.0,12.0,3.0,14.0,20.0,11.0,123.0,11.0
Everton,3,1.0,442.0,46.6,4.0,594.0,358.0,38.0,26.0,44.0,224.0,119.0,3.0,11.0,1.0,20.0,18.0,12.0,158.0,11.0
Everton,2,1.0,442.0,54.9,7.0,769.0,562.0,52.0,33.0,50.0,313.0,134.0,10.0,7.0,1.0,15.0,25.0,11.0,273.0,13.0
Everton,1,1.0,442.0,53.8,4.0,705.0,491.0,37.0,42.0,60.0,298.0,156.0,3.0,11.0,2.0,21.0,25.0,12.0,220.0,7.0
Everton,1,0.0,3412.0,67.5,8.0,717.0,521.0,56.0,45.0,55.0,291.0,118.0,11.0,10.0,1.0,5.0,16.0,7.0,263.0,15.0
Everton,0,0.0,442.0,43.0,5.0,548.0,353.0,43.0,31.0,54.0,231.0,112.0,4.0,5.0,1.0,15.0,14.0,17.0,145.0,10.0
Everton,3,1.0,442.0,30.0,3.0,470.0,255.0,28.0,23.0,68.0,192.0,121.0,3.0,10.0,2.0,36.0,14.0,10.0,75.0,14.0
Everton,0,0.0,4231.0,57.3,7.0,621.0,401.0,38.0,52.0,58.0,264.0,141.0,6.0,12.0,0.0,20.0,16.0,5.0,170.0,12.0
Everton,1,0.0,4141.0,47.3,3.0,567.0,375.0,43.0,42.0,54.0,259.0,136.0,1.0,6.0,1.0,26.0,27.0,6.0,144.0,9.0
Everton,2,1.0,4231.0,51.3,5.0,596.0,390.0,45.0,47.0,59.0,271.0,138.0,7.0,12.0,9.0,24.0,18.0,12.0,143.0,15.0
