team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Manchester City,5,2.0,433.0,73.1,12.0,900.0,722.0,49.0,56.0,75.0,538.0,320.0,7.0,24.0,2.0,12.0,15.0,10.0,208.0,7.0
Manchester City,2,2.0,4231.0,72.5,4.0,923.0,756.0,58.0,20.0,53.0,437.0,174.0,2.0,6.0,2.0,15.0,11.0,8.0,333.0,10.0
Manchester City,5,2.0,433.0,73.6,6.0,1000.0,843.0,68.0,39.0,70.0,497.0,232.0,7.0,16.0,2.0,5.0,17.0,15.0,367.0,13.0
Manchester City,4,3.0,4231.0,47.0,6.0,662.0,490.0,38.0,17.0,40.0,185.0,77.0,4.0,10.0,3.0,10.0,11.0,8.0,316.0,8.0
Manchester City,5,3.0,433.0,71.7,7.0,938.0,816.0,57.0,27.0,74.0,435.0,201.0,8.0,11.0,1.0,12.0,10.0,2.0,390.0,8.0
Manchester City,3,1.0,433.0,67.1,5.0,834.0,692.0,55.0,22.0,51.0,408.0,196.0,5.0,15.0,1.0,7.0,12.0,13.0,293.0,9.0
Manchester City,2,1.0,433.0,77.3,5.0,1070.0,896.0,63.0,48.0,69.0,656.0,304.0,7.0,13.0,1.0,11.0,13.0,7.0,275.0,5.0
Manchester City,2,1.0,433.0,72.5,10.0,898.0,666.0,42.0,67.0,71.0,529.0,304.0,9.0,16.0,1.0,13.0,10.0,9.0,195.0,9.0
Manchester City,2,1.0,3421.0,65.4,7.0,943.0,777.0,70.0,23.0,53.0,408.0,161.0,3.0,13.0,3.0,10.0,14.0,16.0,380.0,11.0
Manchester City,2,1.0,433.0,72.9,6.0,1021.0,871.0,50.0,29.0,65.0,507.0,228.0,10.0,6.0,1.0,10.0,19.0,3.0,378.0,5.0
Manchester City,3,2.0,4231.0,62.7,7.0,859.0,690.0,52.0,32.0,56.0,387.0,177.0,6.0,17.0,1.0,19.0,15.0,10.0,317.0,14.0
Manchester City,1,2.0,433.0,71.9,6.0,885.0,658.0,41.0,50.0,83.0,550.0,302.0,5.0,17.0,1.0,14.0,24.0,14.0,156.0,10.0
Manchester City,2,2.0,433.0,46.7,7.0,728.0,558.0,20.0,13.0,20.0,285.0,51.0,8.0,7.0,3.0,15.0,13.0,10.0,292.0,5.0
Manchester City,2,1.0,433.0,75.3,9.0,885.0,639.0,44.0,85.0,77.0,553.0,357.0,7.0,19.0,3.0,9.0,17.0,3.0,148.0,11.0
Manchester City,3,0.0,433.0,63.1,8.0,794.0,597.0,28.0,42.0,65.0,437.0,274.0,4.0,22.0,1.0,13.0,16.0,9.0,183.0,10.0
Manchester City,0,0.0,4231.0,76.0,6.0,917.0,714.0,50.0,57.0,66.0,528.0,287.0,9.0,9.0,1.0,14.0,14.0,11.0,222.0,11.0
Manchester City,8,5.0,433.0,68.7,13.0,909.0,727.0,50.0,31.0,47.0,445.0,195.0,8.0,20.0,2.0,18.0,11.0,6.0,305.0,5.0
Manchester City,4,2.0,433.0,53.5,8.0,755.0,598.0,38.0,37.0,46.0,360.0,177.0,5.0,10.0,1.0,15.0,12.0,10.0,251.0,10.0
Manchester City,2,2.0,4231.0,55.4,8.0,806.0,610.0,56.0,46.0,67.0,417.0,218.0,8.0,22.0,3.0,15.0,26.0,10.0,224.0,14.0
Manchester City,4,0.0,433.0,76.9,6.0,941.0,764.0,39.0,43.0,90.0,573.0,271.0,0.0,17.0,3.0,22.0,14.0,7.0,216.0,11.0
Manchester City,5,0.0,433.0,70.2,12.0,975.0,799.0,58.0,31.0,64.0,427.0,207.0,0.0,20.0,1.0,16.0,17.0,12.0,393.0,3.0
Manchester City,0,0.0,433.0,73.7,9.0,1022.0,808.0,63.0,73.0,89.0,519.0,267.0,7.0,19.0,3.0,16.0,14.0,9.0,331.0,7.0
Manchester City,1,0.0,433.0,64.7,6.0,875.0,713.0,53.0,36.0,99.0,447.0,224.0,6.0,5.0,1.0,7.0,15.0,5.0,286.0,3.0
Manchester City,0,0.0,433.0,72.3,3.0,948.0,761.0,58.0,36.0,69.0,455.0,195.0,3.0,4.0,2.0,15.0,15.0,8.0,337.0,9.0
Manchester City,1,0.0,433.0,68.1,6.0,871.0,677.0,48.0,31.0,50.0,419.0,198.0,8.0,10.0,1.0,15.0,17.0,15.0,278.0,10.0
Manchester City,0,0.0,433.0,66.9,0.0,868.0,692.0,57.0,38.0,73.0,469.0,219.0,0.0,14.0,0.0,15.0,16.0,12.0,247.0,14.0
Manchester City,1,0.0,3421.0,67.3,8.0,795.0,600.0,54.0,33.0,40.0,331.0,138.0,0.0,12.0,1.0,8.0,15.0,11.0,296.0,13.0
Manchester City,6,0.0,433.0,70.6,8.0,1037.0,877.0,59.0,30.0,56.0,490.0,222.0,0.0,14.0,0.0,16.0,17.0,8.0,403.0,12.0
Manchester City,2,0.0,4231.0,38.1,3.0,530.0,358.0,35.0,4.0,32.0,166.0,60.0,2.0,5.0,0.0,16.0,9.0,14.0,194.0,13.0
Manchester City,3,0.0,4231.0,57.6,3.0,847.0,672.0,66.0,23.0,52.0,362.0,154.0,6.0,8.0,1.0,21.0,11.0,10.0,320.0,24.0
