team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Manchester United,1,1.0,4231.0,57.2,5.0,775.0,609.0,31.0,24.0,91.0,434.0,249.0,5.0,6.0,3.0,9.0,21.0,8.0,183.0,10.0
Manchester United,2,2.0,4231.0,47.5,3.0,654.0,463.0,37.0,22.0,46.0,225.0,129.0,4.0,4.0,1.0,13.0,19.0,10.0,251.0,14.0
Manchester United,5,3.0,4231.0,69.3,4.0,812.0,648.0,45.0,40.0,46.0,391.0,212.0,10.0,9.0,4.0,16.0,11.0,13.0,278.0,3.0
Manchester United,3,2.0,4231.0,68.2,5.0,891.0,748.0,54.0,33.0,60.0,465.0,221.0,4.0,11.0,1.0,7.0,11.0,8.0,300.0,10.0
Manchester United,2,1.0,3412.0,27.7,2.0,488.0,294.0,20.0,14.0,38.0,151.0,85.0,4.0,8.0,1.0,19.0,11.0,17.0,152.0,11.0
Manchester United,3,1.0,4231.0,58.0,9.0,789.0,597.0,43.0,26.0,47.0,285.0,131.0,6.0,15.0,1.0,21.0,17.0,18.0,322.0,6.0
Manchester United,0,0.0,4231.0,63.7,8.0,851.0,633.0,44.0,40.0,67.0,470.0,266.0,10.0,6.0,1.0,19.0,16.0,5.0,186.0,14.0
Manchester United,0,1.0,4231.0,72.2,10.0,880.0,692.0,39.0,41.0,63.0,421.0,253.0,13.0,11.0,2.0,10.0,15.0,7.0,295.0,11.0
Manchester United,4,1.0,4231.0,59.6,4.0,847.0,646.0,34.0,35.0,70.0,443.0,258.0,4.0,9.0,2.0,21.0,24.0,14.0,219.0,18.0
Manchester United,4,3.0,4231.0,73.3,7.0,986.0,815.0,64.0,33.0,69.0,520.0,244.0,14.0,8.0,1.0,17.0,18.0,10.0,311.0,10.0
Manchester United,1,1.0,4231.0,66.5,8.0,759.0,529.0,45.0,37.0,68.0,326.0,174.0,15.0,9.0,2.0,14.0,12.0,7.0,234.0,10.0
Manchester United,2,1.0,4231.0,46.6,3.0,638.0,441.0,35.0,20.0,53.0,246.0,131.0,5.0,7.0,1.0,20.0,17.0,16.0,205.0,9.0
Manchester United,2,1.0,4231.0,62.3,7.0,714.0,525.0,42.0,35.0,54.0,323.0,185.0,6.0,10.0,1.0,6.0,17.0,10.0,231.0,16.0
Manchester United,3,2.0,4231.0,42.7,5.0,577.0,358.0,30.0,23.0,35.0,201.0,115.0,9.0,12.0,4.0,24.0,17.0,10.0,174.0,10.0
Manchester United,1,1.0,3412.0,32.0,4.0,509.0,299.0,23.0,18.0,51.0,183.0,96.0,4.0,3.0,4.0,10.0,16.0,11.0,131.0,6.0
