team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Sheffield United,0,0.0,352.0,50.6,3.0,651.0,468.0,39.0,44.0,74.0,325.0,183.0,1.0,7.0,1.0,17.0,17.0,10.0,175.0,11.0
Sheffield United,3,2.0,352.0,23.7,3.0,408.0,251.0,19.0,18.0,59.0,190.0,132.0,5.0,9.0,1.0,7.0,6.0,11.0,73.0,8.0
Sheffield United,1,0.0,352.0,42.8,3.0,563.0,382.0,30.0,45.0,75.0,327.0,172.0,1.0,6.0,3.0,16.0,17.0,5.0,91.0,5.0
Sheffield United,3,1.0,352.0,32.5,2.0,494.0,312.0,30.0,27.0,61.0,223.0,134.0,2.0,5.0,2.0,18.0,17.0,16.0,98.0,13.0
Sheffield United,1,1.0,352.0,41.8,4.0,576.0,359.0,32.0,39.0,65.0,280.0,171.0,1.0,9.0,1.0,14.0,14.0,13.0,113.0,12.0
Sheffield United,1,1.0,352.0,66.3,5.0,782.0,532.0,33.0,54.0,77.0,406.0,220.0,3.0,10.0,3.0,15.0,24.0,8.0,176.0,5.0
Sheffield United,2,1.0,352.0,54.3,4.0,666.0,449.0,43.0,47.0,75.0,308.0,176.0,2.0,14.0,1.0,17.0,20.0,7.0,177.0,10.0
Sheffield United,0,0.0,352.0,32.7,2.0,463.0,286.0,22.0,26.0,69.0,218.0,126.0,6.0,4.0,4.0,13.0,14.0,10.0,89.0,13.0
Sheffield United,1,0.0,352.0,46.9,6.0,612.0,437.0,34.0,32.0,72.0,293.0,148.0,4.0,9.0,3.0,19.0,9.0,8.0,169.0,11.0
Sheffield United,1,1.0,352.0,58.1,6.0,713.0,517.0,49.0,42.0,71.0,295.0,151.0,4.0,12.0,4.0,18.0,21.0,4.0,253.0,11.0
Sheffield United,2,0.0,352.0,56.7,2.0,697.0,512.0,51.0,48.0,84.0,384.0,219.0,3.0,7.0,3.0,12.0,15.0,11.0,158.0,10.0
Sheffield United,0,1.0,352.0,73.3,4.0,881.0,675.0,55.0,55.0,90.0,500.0,231.0,3.0,10.0,3.0,18.0,18.0,2.0,220.0,10.0
Sheffield United,3,1.0,352.0,40.6,1.0,580.0,383.0,25.0,34.0,64.0,284.0,152.0,7.0,5.0,3.0,13.0,21.0,16.0,127.0,13.0
Sheffield United,3,3.0,352.0,45.6,5.0,563.0,384.0,37.0,33.0,57.0,259.0,137.0,1.0,12.0,1.0,17.0,13.0,7.0,148.0,8.0
Sheffield United,1,1.0,352.0,31.4,5.0,492.0,287.0,25.0,29.0,54.0,210.0,122.0,3.0,5.0,1.0,21.0,11.0,13.0,96.0,10.0
Sheffield United,0,0.0,352.0,29.6,6.0,479.0,291.0,33.0,27.0,52.0,206.0,116.0,1.0,11.0,1.0,11.0,17.0,12.0,102.0,8.0
Sheffield United,0,0.0,352.0,48.2,8.0,647.0,414.0,36.0,37.0,63.0,278.0,144.0,4.0,13.0,3.0,21.0,20.0,10.0,169.0,10.0
Sheffield United,1,1.0,352.0,49.1,3.0,616.0,421.0,32.0,43.0,61.0,338.0,204.0,3.0,4.0,1.0,16.0,17.0,15.0,115.0,11.0
Sheffield United,1,0.0,352.0,42.5,6.0,604.0,354.0,30.0,23.0,57.0,233.0,151.0,5.0,10.0,1.0,20.0,20.0,14.0,142.0,16.0
Sheffield United,1,0.0,352.0,27.9,0.0,417.0,260.0,23.0,15.0,54.0,162.0,83.0,0.0,5.0,2.0,12.0,11.0,11.0,109.0,16.0
Sheffield United,0,0.0,352.0,45.6,3.0,586.0,401.0,47.0,24.0,64.0,275.0,139.0,1.0,4.0,4.0,10.0,10.0,11.0,143.0,10.0
Sheffield United,1,0.0,352.0,52.6,3.0,625.0,441.0,25.0,39.0,67.0,282.0,166.0,3.0,7.0,1.0,12.0,21.0,9.0,190.0,14.0
Sheffield United,0,0.0,352.0,31.8,1.0,486.0,338.0,24.0,22.0,47.0,198.0,105.0,2.0,2.0,2.0,15.0,10.0,15.0,157.0,6.0
Sheffield United,0,0.0,352.0,54.0,3.0,664.0,509.0,40.0,23.0,75.0,314.0,145.0,1.0,6.0,1.0,16.0,21.0,4.0,217.0,10.0
Sheffield United,0,0.0,352.0,54.9,1.0,648.0,483.0,49.0,22.0,82.0,314.0,169.0,2.0,3.0,0.0,18.0,16.0,6.0,189.0,14.0
Sheffield United,1,0.0,352.0,39.3,3.0,533.0,337.0,31.0,22.0,59.0,246.0,148.0,4.0,6.0,0.0,20.0,14.0,13.0,107.0,15.0
Sheffield United,1,0.0,352.0,39.0,6.0,534.0,353.0,31.0,24.0,68.0,247.0,116.0,3.0,9.0,0.0,20.0,18.0,18.0,130.0,13.0
Sheffield United,0,0.0,352.0,25.2,1.0,470.0,327.0,20.0,14.0,51.0,175.0,99.0,1.0,2.0,3.0,14.0,5.0,12.0,162.0,8.0
Sheffield United,0,0.0,352.0,27.1,6.0,477.0,314.0,33.0,24.0,55.0,209.0,126.0,1.0,7.0,5.0,16.0,16.0,12.0,121.0,6.0
Sheffield United,1,0.0,352.0,31.0,5.0,456.0,293.0,19.0,11.0,55.0,187.0,97.0,1.0,6.0,3.0,22.0,14.0,9.0,115.0,11.0
Sheffield United,2,0.0,352.0,41.8,5.0,625.0,418.0,45.0,30.0,69.0,272.0,143.0,3.0,6.0,2.0,17.0,18.0,13.0,162.0,12.0
Sheffield United,1,0.0,352.0,40.6,5.0,583.0,361.0,25.0,31.0,60.0,244.0,144.0,1.0,9.0,3.0,19.0,7.0,17.0,135.0,18.0
Sheffield United,1,0.0,352.0,38.9,7.0,591.0,378.0,32.0,24.0,63.0,266.0,142.0,6.0,8.0,6.0,27.0,12.0,10.0,127.0,9.0
Sheffield United,1,0.0,352.0,39.2,3.0,551.0,357.0,26.0,22.0,53.0,218.0,110.0,1.0,9.0,4.0,11.0,16.0,14.0,154.0,10.0
Sheffield United,0,0.0,352.0,60.5,4.0,760.0,554.0,41.0,38.0,74.0,344.0,165.0,4.0,5.0,3.0,15.0,6.0,9.0,240.0,6.0
Sheffield United,2,0.0,352.0,30.2,1.0,442.0,227.0,18.0,12.0,50.0,143.0,89.0,0.0,2.0,1.0,15.0,15.0,14.0,97.0,9.0
