team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Leeds United,3,2.0,3421.0,64.4,3.0,685.0,499.0,48.0,45.0,54.0,272.0,139.0,8.0,9.0,3.0,21.0,11.0,8.0,244.0,12.0
Leeds United,3,2.0,4141.0,53.3,5.0,656.0,442.0,33.0,35.0,47.0,248.0,136.0,4.0,12.0,1.0,20.0,22.0,13.0,222.0,12.0
Leeds United,0,0.0,4141.0,44.2,1.0,571.0,385.0,21.0,15.0,29.0,162.0,77.0,3.0,3.0,2.0,30.0,11.0,8.0,236.0,21.0
Leeds United,1,1.0,4141.0,61.9,4.0,737.0,525.0,30.0,37.0,49.0,197.0,100.0,5.0,12.0,4.0,23.0,20.0,10.0,354.0,7.0
Leeds United,2,1.0,4141.0,54.1,9.0,688.0,491.0,33.0,31.0,56.0,276.0,162.0,10.0,13.0,1.0,15.0,24.0,11.0,231.0,12.0
Leeds United,0,0.0,4141.0,37.7,2.0,545.0,330.0,29.0,24.0,40.0,159.0,80.0,3.0,4.0,5.0,13.0,24.0,19.0,193.0,16.0
Leeds United,0,1.0,4141.0,69.2,5.0,701.0,517.0,38.0,40.0,56.0,293.0,147.0,6.0,7.0,0.0,18.0,13.0,7.0,251.0,14.0
Leeds United,3,0.0,3331.0,46.7,4.0,520.0,319.0,26.0,18.0,35.0,133.0,65.0,2.0,9.0,1.0,25.0,14.0,10.0,194.0,11.0
Leeds United,2,1.0,4141.0,68.2,7.0,883.0,714.0,51.0,31.0,47.0,310.0,161.0,3.0,14.0,1.0,22.0,14.0,6.0,419.0,7.0
Leeds United,1,2.0,4141.0,63.2,6.0,767.0,561.0,34.0,42.0,60.0,308.0,178.0,4.0,12.0,1.0,16.0,29.0,11.0,278.0,12.0
Leeds United,0,1.0,4141.0,66.6,3.0,795.0,601.0,42.0,42.0,57.0,303.0,155.0,3.0,4.0,3.0,13.0,19.0,10.0,327.0,8.0
Leeds United,1,1.0,3331.0,51.4,5.0,629.0,424.0,38.0,20.0,46.0,177.0,72.0,5.0,6.0,3.0,17.0,19.0,8.0,259.0,8.0
Leeds United,5,1.0,4141.0,68.7,8.0,728.0,533.0,47.0,55.0,64.0,365.0,198.0,8.0,17.0,4.0,13.0,20.0,19.0,204.0,10.0
Leeds United,1,1.0,4141.0,64.0,5.0,747.0,544.0,33.0,48.0,71.0,284.0,160.0,3.0,10.0,2.0,17.0,20.0,16.0,287.0,12.0
Leeds United,0,0.0,4141.0,66.3,16.0,774.0,610.0,29.0,50.0,64.0,391.0,202.0,10.0,15.0,2.0,18.0,6.0,9.0,246.0,9.0
Leeds United,1,2.0,4141.0,67.5,5.0,834.0,639.0,52.0,42.0,68.0,384.0,179.0,5.0,6.0,2.0,19.0,14.0,7.0,280.0,9.0
Leeds United,0,0.0,4141.0,67.8,7.0,728.0,553.0,43.0,50.0,67.0,328.0,189.0,3.0,13.0,1.0,14.0,8.0,12.0,262.0,13.0
Leeds United,1,1.0,4141.0,52.1,2.0,633.0,429.0,24.0,20.0,37.0,177.0,90.0,1.0,11.0,2.0,27.0,15.0,9.0,265.0,11.0
Leeds United,4,2.0,4141.0,50.3,2.0,658.0,444.0,35.0,27.0,52.0,200.0,108.0,2.0,8.0,3.0,22.0,20.0,10.0,264.0,13.0
