team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Newcastle United,1,1.0,532.0,50.9,9.0,678.0,487.0,40.0,21.0,32.0,206.0,81.0,8.0,8.0,2.0,8.0,14.0,6.0,296.0,7.0
Newcastle United,3,2.0,532.0,17.9,3.0,353.0,195.0,22.0,18.0,21.0,100.0,41.0,1.0,10.0,1.0,13.0,11.0,7.0,106.0,11.0
Newcastle United,0,1.0,532.0,38.6,3.0,539.0,396.0,28.0,26.0,38.0,168.0,74.0,2.0,3.0,1.0,12.0,7.0,7.0,248.0,10.0
Newcastle United,3,2.0,532.0,34.6,1.0,466.0,272.0,21.0,13.0,27.0,115.0,51.0,9.0,7.0,2.0,16.0,17.0,11.0,166.0,9.0
Newcastle United,2,1.0,532.0,41.2,7.0,547.0,348.0,27.0,38.0,71.0,228.0,122.0,5.0,17.0,1.0,11.0,16.0,5.0,148.0,13.0
Newcastle United,1,0.0,433.0,49.2,4.0,595.0,392.0,34.0,39.0,55.0,272.0,137.0,3.0,9.0,4.0,20.0,19.0,10.0,147.0,10.0
Newcastle United,1,0.0,433.0,47.6,6.0,579.0,388.0,32.0,22.0,58.0,226.0,108.0,8.0,11.0,2.0,18.0,8.0,14.0,179.0,11.0
Newcastle United,3,3.0,4312.0,26.2,1.0,411.0,221.0,18.0,10.0,55.0,144.0,75.0,2.0,4.0,3.0,16.0,18.0,12.0,83.0,11.0
Newcastle United,1,1.0,4312.0,61.3,10.0,794.0,610.0,46.0,37.0,75.0,354.0,171.0,6.0,15.0,1.0,12.0,19.0,7.0,289.0,14.0
Newcastle United,1,1.0,4411.0,42.3,10.0,515.0,313.0,20.0,32.0,54.0,205.0,93.0,13.0,9.0,1.0,11.0,16.0,6.0,134.0,10.0
Newcastle United,1,0.0,541.0,43.3,3.0,557.0,371.0,33.0,21.0,62.0,216.0,103.0,3.0,5.0,3.0,16.0,18.0,15.0,174.0,10.0
Newcastle United,0,0.0,541.0,26.9,4.0,443.0,241.0,25.0,24.0,47.0,167.0,78.0,3.0,5.0,2.0,19.0,17.0,14.0,92.0,9.0
Newcastle United,1,1.0,442.0,49.5,5.0,645.0,470.0,36.0,25.0,59.0,265.0,110.0,6.0,6.0,1.0,12.0,18.0,20.0,224.0,7.0
Newcastle United,2,1.0,442.0,45.3,1.0,597.0,401.0,37.0,25.0,43.0,225.0,86.0,3.0,9.0,3.0,7.0,11.0,13.0,195.0,9.0
Newcastle United,0,1.0,541.0,29.0,4.0,447.0,287.0,22.0,25.0,39.0,188.0,89.0,4.0,4.0,2.0,6.0,9.0,5.0,119.0,11.0
Newcastle United,2,0.0,532.0,37.7,3.0,557.0,369.0,34.0,15.0,23.0,175.0,65.0,4.0,7.0,1.0,13.0,18.0,5.0,205.0,9.0
Newcastle United,1,1.0,4141.0,36.4,2.0,562.0,358.0,33.0,14.0,48.0,167.0,68.0,4.0,3.0,2.0,18.0,20.0,17.0,201.0,9.0
Newcastle United,3,1.0,442.0,47.7,4.0,606.0,416.0,40.0,18.0,41.0,229.0,101.0,4.0,6.0,4.0,5.0,14.0,5.0,202.0,13.0
