team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
West Ham United,3,2.0,4231.0,36.9,6.0,483.0,300.0,24.0,16.0,60.0,214.0,108.0,3.0,11.0,5.0,12.0,22.0,10.0,101.0,5.0
West Ham United,0,1.0,4231.0,68.6,6.0,809.0,606.0,45.0,49.0,76.0,413.0,185.0,3.0,8.0,2.0,16.0,17.0,3.0,233.0,8.0
West Ham United,0,1.0,3412.0,44.5,4.0,634.0,447.0,22.0,20.0,61.0,301.0,135.0,6.0,3.0,3.0,18.0,23.0,13.0,163.0,9.0
West Ham United,3,2.0,3412.0,36.3,5.0,551.0,365.0,36.0,15.0,49.0,195.0,75.0,5.0,4.0,3.0,10.0,13.0,15.0,178.0,7.0
West Ham United,3,3.0,4231.0,36.9,7.0,516.0,348.0,32.0,24.0,58.0,232.0,126.0,7.0,15.0,1.0,12.0,13.0,12.0,135.0,18.0
West Ham United,2,2.0,4231.0,34.7,6.0,458.0,276.0,26.0,20.0,40.0,159.0,77.0,8.0,8.0,1.0,14.0,17.0,18.0,132.0,9.0
West Ham United,2,1.0,4231.0,30.8,13.0,447.0,253.0,19.0,17.0,60.0,179.0,101.0,12.0,4.0,1.0,23.0,17.0,13.0,87.0,14.0
West Ham United,3,1.0,3421.0,45.9,3.0,588.0,429.0,36.0,23.0,39.0,223.0,107.0,4.0,9.0,1.0,9.0,11.0,9.0,221.0,11.0
West Ham United,1,0.0,4231.0,32.8,3.0,524.0,365.0,22.0,20.0,43.0,184.0,75.0,2.0,6.0,2.0,15.0,18.0,18.0,203.0,7.0
West Ham United,2,1.0,4231.0,59.0,5.0,728.0,541.0,49.0,33.0,72.0,340.0,181.0,6.0,8.0,2.0,5.0,15.0,3.0,225.0,10.0
West Ham United,1,1.0,4231.0,44.8,6.0,576.0,364.0,30.0,32.0,65.0,238.0,127.0,3.0,12.0,5.0,8.0,12.0,10.0,158.0,12.0
West Ham United,2,1.0,3412.0,43.6,2.0,589.0,423.0,36.0,34.0,56.0,289.0,131.0,3.0,8.0,2.0,14.0,17.0,13.0,160.0,6.0
