team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Wolverhampton Wanderers,1,1.0,352.0,57.2,6.0,744.0,571.0,46.0,33.0,68.0,351.0,160.0,4.0,10.0,1.0,19.0,14.0,10.0,250.0,14.0
Wolverhampton Wanderers,2,1.0,4231.0,60.7,3.0,752.0,569.0,36.0,37.0,62.0,379.0,207.0,7.0,9.0,2.0,14.0,21.0,9.0,215.0,12.0
Wolverhampton Wanderers,0,3.0,3412.0,59.2,5.0,663.0,474.0,36.0,21.0,38.0,227.0,75.0,8.0,4.0,2.0,16.0,21.0,13.0,274.0,8.0
Wolverhampton Wanderers,1,0.0,3421.0,47.5,3.0,661.0,479.0,43.0,18.0,39.0,212.0,88.0,1.0,9.0,2.0,15.0,8.0,10.0,281.0,8.0
Wolverhampton Wanderers,2,1.0,4231.0,66.1,13.0,826.0,628.0,64.0,34.0,78.0,350.0,145.0,5.0,15.0,1.0,20.0,16.0,9.0,309.0,9.0
Wolverhampton Wanderers,0,1.0,3412.0,52.7,2.0,714.0,508.0,41.0,35.0,55.0,270.0,106.0,2.0,8.0,2.0,18.0,22.0,21.0,267.0,17.0
Wolverhampton Wanderers,1,0.0,343.0,41.0,5.0,500.0,308.0,31.0,20.0,42.0,204.0,85.0,10.0,5.0,1.0,17.0,13.0,10.0,117.0,13.0
Wolverhampton Wanderers,0,0.0,343.0,43.9,6.0,635.0,429.0,32.0,21.0,21.0,213.0,88.0,6.0,7.0,1.0,19.0,30.0,15.0,238.0,11.0
Wolverhampton Wanderers,2,1.0,4231.0,54.6,4.0,745.0,576.0,44.0,28.0,44.0,331.0,132.0,4.0,7.0,1.0,10.0,13.0,6.0,272.0,11.0
Wolverhampton Wanderers,2,2.0,433.0,67.8,10.0,761.0,549.0,50.0,40.0,49.0,333.0,137.0,8.0,15.0,2.0,12.0,19.0,10.0,247.0,10.0
Wolverhampton Wanderers,1,1.0,433.0,52.8,6.0,727.0,558.0,45.0,29.0,58.0,320.0,155.0,5.0,7.0,1.0,14.0,15.0,13.0,264.0,6.0
Wolverhampton Wanderers,1,1.0,4231.0,54.8,2.0,746.0,542.0,48.0,38.0,61.0,326.0,163.0,4.0,7.0,2.0,21.0,18.0,12.0,246.0,20.0
Wolverhampton Wanderers,2,0.0,3412.0,45.1,6.0,625.0,418.0,33.0,31.0,45.0,231.0,102.0,6.0,6.0,1.0,17.0,18.0,14.0,204.0,12.0
Wolverhampton Wanderers,0,0.0,4231.0,50.5,4.0,559.0,348.0,27.0,23.0,41.0,209.0,107.0,6.0,10.0,2.0,15.0,11.0,7.0,161.0,23.0
Wolverhampton Wanderers,1,0.0,433.0,45.3,5.0,614.0,416.0,31.0,21.0,42.0,247.0,99.0,5.0,15.0,2.0,11.0,14.0,8.0,192.0,14.0
Wolverhampton Wanderers,2,2.0,3421.0,45.0,8.0,618.0,446.0,44.0,30.0,56.0,291.0,134.0,6.0,9.0,2.0,19.0,22.0,15.0,179.0,13.0
Wolverhampton Wanderers,1,0.0,343.0,63.4,8.0,877.0,702.0,65.0,17.0,91.0,413.0,188.0,12.0,4.0,1.0,11.0,16.0,8.0,307.0,10.0
Wolverhampton Wanderers,1,0.0,352.0,47.1,3.0,639.0,478.0,40.0,25.0,41.0,251.0,105.0,7.0,7.0,0.0,9.0,12.0,9.0,245.0,15.0
Wolverhampton Wanderers,1,2.0,532.0,34.8,5.0,545.0,356.0,38.0,20.0,30.0,153.0,49.0,4.0,6.0,2.0,25.0,19.0,15.0,216.0,7.0
Wolverhampton Wanderers,0,0.0,3412.0,59.0,2.0,750.0,528.0,61.0,29.0,52.0,317.0,136.0,4.0,5.0,0.0,12.0,19.0,11.0,246.0,11.0
Wolverhampton Wanderers,0,0.0,4231.0,38.1,7.0,547.0,360.0,35.0,15.0,39.0,186.0,71.0,3.0,12.0,3.0,20.0,17.0,13.0,185.0,11.0
Wolverhampton Wanderers,1,0.0,4231.0,57.6,6.0,676.0,467.0,44.0,33.0,51.0,300.0,125.0,7.0,13.0,2.0,20.0,11.0,7.0,188.0,11.0
Wolverhampton Wanderers,1,0.0,4231.0,50.4,4.0,663.0,452.0,38.0,21.0,55.0,192.0,78.0,2.0,5.0,1.0,19.0,15.0,13.0,280.0,8.0
Wolverhampton Wanderers,0,0.0,343.0,50.8,6.0,621.0,424.0,41.0,24.0,45.0,244.0,99.0,5.0,5.0,0.0,12.0,8.0,13.0,204.0,13.0
Wolverhampton Wanderers,1,0.0,3421.0,27.9,2.0,485.0,309.0,20.0,8.0,25.0,134.0,48.0,1.0,5.0,1.0,17.0,9.0,7.0,182.0,5.0
Wolverhampton Wanderers,1,0.0,3421.0,52.4,7.0,600.0,423.0,31.0,21.0,32.0,251.0,123.0,7.0,7.0,0.0,14.0,8.0,6.0,193.0,13.0
Wolverhampton Wanderers,2,0.0,343.0,48.9,3.0,630.0,448.0,53.0,19.0,48.0,244.0,104.0,4.0,6.0,1.0,9.0,22.0,13.0,223.0,9.0
Wolverhampton Wanderers,0,0.0,3421.0,52.7,1.0,730.0,560.0,45.0,22.0,38.0,270.0,100.0,2.0,4.0,1.0,25.0,11.0,6.0,315.0,10.0
Wolverhampton Wanderers,0,0.0,3412.0,21.1,4.0,403.0,242.0,21.0,10.0,23.0,96.0,41.0,2.0,2.0,0.0,5.0,12.0,16.0,152.0,7.0
Wolverhampton Wanderers,3,3.0,4231.0,45.5,4.0,647.0,461.0,28.0,15.0,42.0,224.0,98.0,4.0,7.0,0.0,13.0,16.0,10.0,251.0,8.0
Wolverhampton Wanderers,0,0.0,3412.0,41.8,2.0,607.0,439.0,34.0,12.0,42.0,213.0,102.0,2.0,7.0,2.0,16.0,17.0,11.0,237.0,7.0
Wolverhampton Wanderers,1,0.0,3412.0,63.6,5.0,646.0,463.0,42.0,28.0,44.0,264.0,118.0,6.0,9.0,2.0,11.0,6.0,15.0,221.0,15.0
Wolverhampton Wanderers,0,0.0,433.0,39.4,5.0,560.0,395.0,33.0,20.0,38.0,231.0,95.0,3.0,6.0,3.0,19.0,10.0,13.0,189.0,14.0
Wolverhampton Wanderers,2,2.0,4231.0,43.8,2.0,599.0,405.0,38.0,15.0,42.0,210.0,88.0,2.0,9.0,0.0,12.0,16.0,12.0,206.0,13.0
Wolverhampton Wanderers,0,0.0,3421.0,50.4,5.0,679.0,505.0,52.0,31.0,37.0,283.0,108.0,4.0,4.0,0.0,17.0,17.0,10.0,242.0,8.0
Wolverhampton Wanderers,1,0.0,352.0,32.2,1.0,468.0,269.0,29.0,13.0,51.0,150.0,75.0,0.0,4.0,2.0,14.0,9.0,21.0,129.0,12.0
Wolverhampton Wanderers,0,0.0,343.0,63.1,4.0,822.0,626.0,60.0,29.0,68.0,393.0,135.0,7.0,4.0,2.0,17.0,21.0,8.0,251.0,11.0
Wolverhampton Wanderers,2,0.0,343.0,44.9,5.0,597.0,391.0,40.0,18.0,37.0,168.0,62.0,4.0,7.0,0.0,14.0,12.0,13.0,238.0,7.0
